#    L    TT             EE             TE             PP             TP          
   201    0.53983E+04    0.64370E+00   -0.19250E+02    0.27689E+07    0.63514E+03
   202    0.54125E+04    0.64002E+00   -0.18144E+02    0.27538E+07    0.63600E+03
   203    0.54262E+04    0.63698E+00   -0.17016E+02    0.27389E+07    0.63674E+03
   204    0.54394E+04    0.63461E+00   -0.15869E+02    0.27241E+07    0.63735E+03
   205    0.54520E+04    0.63294E+00   -0.14700E+02    0.27094E+07    0.63785E+03
   206    0.54641E+04    0.63201E+00   -0.13510E+02    0.26948E+07    0.63823E+03
   207    0.54757E+04    0.63184E+00   -0.12301E+02    0.26804E+07    0.63849E+03
   208    0.54866E+04    0.63248E+00   -0.11072E+02    0.26660E+07    0.63864E+03
   209    0.54970E+04    0.63397E+00   -0.98240E+01    0.26518E+07    0.63868E+03
   210    0.55068E+04    0.63633E+00   -0.85572E+01    0.26377E+07    0.63861E+03
   211    0.55161E+04    0.63962E+00   -0.72718E+01    0.26238E+07    0.63843E+03
   212    0.55247E+04    0.64384E+00   -0.59686E+01    0.26099E+07    0.63814E+03
   213    0.55329E+04    0.64906E+00   -0.46474E+01    0.25962E+07    0.63775E+03
   214    0.55404E+04    0.65526E+00   -0.33094E+01    0.25825E+07    0.63726E+03
   215    0.55474E+04    0.66262E+00   -0.19552E+01    0.25690E+07    0.63667E+03
   216    0.55537E+04    0.67098E+00   -0.58412E+00    0.25556E+07    0.63599E+03
   217    0.55596E+04    0.68047E+00    0.80192E+00    0.25423E+07    0.63520E+03
   218    0.55648E+04    0.69111E+00    0.22032E+01    0.25291E+07    0.63432E+03
   219    0.55695E+04    0.70288E+00    0.36209E+01    0.25160E+07    0.63335E+03
   220    0.55737E+04    0.71594E+00    0.50506E+01    0.25031E+07    0.63229E+03
   221    0.55773E+04    0.73021E+00    0.64946E+01    0.24902E+07    0.63114E+03
   222    0.55803E+04    0.74585E+00    0.79516E+01    0.24775E+07    0.62990E+03
   223    0.55826E+04    0.76276E+00    0.94224E+01    0.24648E+07    0.62858E+03
   224    0.55845E+04    0.78096E+00    0.10903E+02    0.24522E+07    0.62718E+03
