#    L    TT             EE             BB             TE             PP             TP             EP          
   115    0.30128E+04    0.88379E+00    0.00000E+00   -0.29985E+02    0.10287E-06   -0.32293E-04   -0.54050E-06
   116    0.30446E+04    0.89462E+00    0.00000E+00   -0.30573E+02    0.10215E-06   -0.29837E-04   -0.56317E-06
   117    0.30767E+04    0.90515E+00    0.00000E+00   -0.31154E+02    0.10144E-06   -0.27484E-04   -0.58921E-06
   118    0.31089E+04    0.91551E+00    0.00000E+00   -0.31730E+02    0.10073E-06   -0.25229E-04   -0.61801E-06
   119    0.31412E+04    0.92557E+00    0.00000E+00   -0.32299E+02    0.10003E-06   -0.23065E-04   -0.64899E-06
   120    0.31736E+04    0.93516E+00    0.00000E+00   -0.32860E+02    0.99340E-07   -0.20988E-04   -0.68153E-06
   121    0.32061E+04    0.94460E+00    0.00000E+00   -0.33414E+02    0.98652E-07   -0.18991E-04   -0.71503E-06
   122    0.32386E+04    0.95358E+00    0.00000E+00   -0.33959E+02    0.97971E-07   -0.17069E-04   -0.74889E-06
   123    0.32712E+04    0.96217E+00    0.00000E+00   -0.34496E+02    0.97296E-07   -0.15217E-04   -0.78252E-06
   124    0.33039E+04    0.97046E+00    0.00000E+00   -0.35022E+02    0.96627E-07   -0.13429E-04   -0.81531E-06
   125    0.33366E+04    0.97836E+00    0.00000E+00   -0.35539E+02    0.95964E-07   -0.11699E-04   -0.84665E-06
   126    0.33694E+04    0.98595E+00    0.00000E+00   -0.36047E+02    0.95307E-07   -0.10023E-04   -0.87596E-06
   127    0.34022E+04    0.99309E+00    0.00000E+00   -0.36544E+02    0.94657E-07   -0.83931E-05   -0.90263E-06
   128    0.34349E+04    0.99991E+00    0.00000E+00   -0.37030E+02    0.94012E-07   -0.68055E-05   -0.92607E-06
   129    0.34678E+04    0.10063E+01    0.00000E+00   -0.37504E+02    0.93374E-07   -0.52541E-05   -0.94566E-06
   130    0.35007E+04    0.10122E+01    0.00000E+00   -0.37965E+02    0.92741E-07   -0.37335E-05   -0.96082E-06
   131    0.35336E+04    0.10178E+01    0.00000E+00   -0.38415E+02    0.92114E-07   -0.22391E-05   -0.97110E-06
   132    0.35665E+04    0.10229E+01    0.00000E+00   -0.38852E+02    0.91493E-07   -0.77057E-06   -0.97671E-06
   133    0.35994E+04    0.10277E+01    0.00000E+00   -0.39276E+02    0.90878E-07    0.67145E-06   -0.97800E-06
   134    0.36323E+04    0.10320E+01    0.00000E+00   -0.39685E+02    0.90268E-07    0.20863E-05   -0.97533E-06
