#    L    TT             EE             BB             TE          
   175    0.49859E+04    0.82528E+00    0.83957E-02   -0.37099E+02
   176    0.50099E+04    0.81508E+00    0.85045E-02   -0.36481E+02
   177    0.50336E+04    0.80490E+00    0.86142E-02   -0.35837E+02
   178    0.50568E+04    0.79494E+00    0.87247E-02   -0.35166E+02
   179    0.50796E+04    0.78493E+00    0.88361E-02   -0.34469E+02
   180    0.51020E+04    0.77507E+00    0.89483E-02   -0.33746E+02
   181    0.51240E+04    0.76536E+00    0.90613E-02   -0.32998E+02
   182    0.51455E+04    0.75589E+00    0.91752E-02   -0.32222E+02
   183    0.51664E+04    0.74657E+00    0.92898E-02   -0.31422E+02
   184    0.51870E+04    0.73748E+00    0.94053E-02   -0.30595E+02
   185    0.52072E+04    0.72876E+00    0.95215E-02   -0.29744E+02
   186    0.52265E+04    0.72028E+00    0.96386E-02   -0.28867E+02
   187    0.52457E+04    0.71217E+00    0.97564E-02   -0.27964E+02
   188    0.52644E+04    0.70441E+00    0.98750E-02   -0.27037E+02
   189    0.52824E+04    0.69704E+00    0.99944E-02   -0.26084E+02
   190    0.53004E+04    0.69012E+00    0.10115E-01   -0.25109E+02
   191    0.53174E+04    0.68367E+00    0.10235E-01   -0.24107E+02
   192    0.53341E+04    0.67769E+00    0.10357E-01   -0.23082E+02
   193    0.53502E+04    0.67225E+00    0.10479E-01   -0.22033E+02
   194    0.53659E+04    0.66737E+00    0.10603E-01   -0.20961E+02
   195    0.53810E+04    0.66307E+00    0.10726E-01   -0.19865E+02
   196    0.53956E+04    0.65941E+00    0.10851E-01   -0.18747E+02
   197    0.54097E+04    0.65642E+00    0.10976E-01   -0.17607E+02
   198    0.54233E+04    0.65412E+00    0.11102E-01   -0.16444E+02
   199    0.54364E+04    0.65255E+00    0.11229E-01   -0.15260E+02
   200    0.54489E+04    0.65173E+00    0.11356E-01   -0.14055E+02
   201    0.54609E+04    0.65174E+00    0.11484E-01   -0.12828E+02
   202    0.54724E+04    0.65256E+00    0.11612E-01   -0.11581E+02
   203    0.54833E+04    0.65427E+00    0.11742E-01   -0.10313E+02
   204    0.54936E+04    0.65688E+00    0.11871E-01   -0.90265E+01
   205    0.55033E+04    0.66043E+00    0.12002E-01   -0.77200E+01
   206    0.55124E+04    0.66496E+00    0.12133E-01   -0.63945E+01
   207    0.55210E+04    0.67050E+00    0.12265E-01   -0.50505E+01
   208    0.55288E+04    0.67709E+00    0.12397E-01   -0.36883E+01
   209    0.55361E+04    0.68475E+00    0.12530E-01   -0.23084E+01
   210    0.55427E+04    0.69354E+00    0.12663E-01   -0.91163E+00
   211    0.55488E+04    0.70348E+00    0.12797E-01    0.50193E+00
   212    0.55542E+04    0.71461E+00    0.12932E-01    0.19314E+01
   213    0.55590E+04    0.72696E+00    0.13067E-01    0.33768E+01
   214    0.55632E+04    0.74053E+00    0.13203E-01    0.48369E+01
   215    0.55668E+04    0.75551E+00    0.13339E-01    0.63111E+01
   216    0.55697E+04    0.77171E+00    0.13475E-01    0.77998E+01
   217    0.55721E+04    0.78929E+00    0.13613E-01    0.93011E+01
   218    0.55739E+04    0.80824E+00    0.13750E-01    0.10815E+02
   219    0.55751E+04    0.82857E+00    0.13888E-01    0.12343E+02
   220    0.55757E+04    0.85042E+00    0.14027E-01    0.13880E+02
   221    0.55757E+04    0.87372E+00    0.14166E-01    0.15429E+02
   222    0.55751E+04    0.89862E+00    0.14305E-01    0.16988E+02
   223    0.55738E+04    0.92503E+00    0.14445E-01    0.18558E+02
   224    0.55720E+04    0.95296E+00    0.14585E-01    0.20135E+02
   225    0.55696E+04    0.98255E+00    0.14726E-01    0.21722E+02
   226    0.55666E+04    0.10138E+01    0.14866E-01    0.23316E+02
   227    0.55630E+04    0.10467E+01    0.15008E-01    0.24917E+02
   228    0.55588E+04    0.10813E+01    0.15149E-01    0.26525E+02
   229    0.55540E+04    0.11176E+01    0.15291E-01    0.28138E+02
   230    0.55486E+04    0.11557E+01    0.15433E-01    0.29757E+02
   231    0.55425E+04    0.11955E+01    0.15576E-01    0.31381E+02
   232    0.55359E+04    0.12371E+01    0.15719E-01    0.33009E+02
   233    0.55287E+04    0.12806E+01    0.15861E-01    0.34639E+02
   234    0.55208E+04    0.13260E+01    0.16005E-01    0.36271E+02
   235    0.55123E+04    0.13732E+01    0.16148E-01    0.37905E+02
   236    0.55032E+04    0.14223E+01    0.16292E-01    0.39541E+02
   237    0.54935E+04    0.14733E+01    0.16435E-01    0.41176E+02
   238    0.54832E+04    0.15264E+01    0.16579E-01    0.42811E+02
   239    0.54724E+04    0.15813E+01    0.16723E-01    0.44446E+02
   240    0.54608E+04    0.16381E+01    0.16867E-01    0.46078E+02
   241    0.54489E+04    0.16971E+01    0.17011E-01    0.47707E+02
   242    0.54363E+04    0.17580E+01    0.17156E-01    0.49334E+02
   243    0.54231E+04    0.18210E+01    0.17300E-01    0.50956E+02
   244    0.54093E+04    0.18859E+01    0.17444E-01    0.52575E+02
   245    0.53950E+04    0.19530E+01    0.17589E-01    0.54187E+02
   246    0.53801E+04    0.20222E+01    0.17733E-01    0.55794E+02
   247    0.53647E+04    0.20933E+01    0.17877E-01    0.57393E+02
   248    0.53488E+04    0.21669E+01    0.18022E-01    0.58986E+02
   249    0.53323E+04    0.22423E+01    0.18166E-01    0.60570E+02
   250    0.53153E+04    0.23200E+01    0.18310E-01    0.62145E+02
   251    0.52979E+04    0.23997E+01    0.18454E-01    0.63712E+02
   252    0.52797E+04    0.24816E+01    0.18598E-01    0.65268E+02
   253    0.52613E+04    0.25655E+01    0.18741E-01    0.66812E+02
   254    0.52423E+04    0.26518E+01    0.18885E-01    0.68345E+02
   255    0.52228E+04    0.27400E+01    0.19028E-01    0.69867E+02
   256    0.52028E+04    0.28306E+01    0.19171E-01    0.71377E+02
   257    0.51824E+04    0.29232E+01    0.19314E-01    0.72867E+02
