#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   141    0.39834E+04   -0.43059E+02    0.16662E-05   -0.43059E+02    0.10508E+01   -0.61008E-08    0.16662E-05   -0.61008E-08    0.36447E-11
   142    0.40164E+04   -0.43274E+02    0.16383E-05   -0.43274E+02    0.10499E+01   -0.59934E-08    0.16383E-05   -0.59934E-08    0.35712E-11
   143    0.40493E+04   -0.43470E+02    0.16110E-05   -0.43470E+02    0.10485E+01   -0.58797E-08    0.16110E-05   -0.58797E-08    0.34996E-11
   144    0.40819E+04   -0.43645E+02    0.15844E-05   -0.43645E+02    0.10467E+01   -0.57615E-08    0.15844E-05   -0.57615E-08    0.34299E-11
   145    0.41144E+04   -0.43799E+02    0.15583E-05   -0.43799E+02    0.10445E+01   -0.56406E-08    0.15583E-05   -0.56406E-08    0.33619E-11
   146    0.41470E+04   -0.43932E+02    0.15328E-05   -0.43932E+02    0.10418E+01   -0.55188E-08    0.15328E-05   -0.55188E-08    0.32957E-11
   147    0.41792E+04   -0.44042E+02    0.15079E-05   -0.44042E+02    0.10387E+01   -0.53980E-08    0.15079E-05   -0.53980E-08    0.32311E-11
   148    0.42113E+04   -0.44132E+02    0.14835E-05   -0.44132E+02    0.10351E+01   -0.52801E-08    0.14835E-05   -0.52801E-08    0.31681E-11
   149    0.42433E+04   -0.44198E+02    0.14595E-05   -0.44198E+02    0.10311E+01   -0.51667E-08    0.14595E-05   -0.51667E-08    0.31067E-11
   150    0.42750E+04   -0.44241E+02    0.14360E-05   -0.44241E+02    0.10267E+01   -0.50598E-08    0.14360E-05   -0.50598E-08    0.30467E-11
   151    0.43066E+04   -0.44261E+02    0.14130E-05   -0.44261E+02    0.10219E+01   -0.49607E-08    0.14130E-05   -0.49607E-08    0.29881E-11
   152    0.43378E+04   -0.44259E+02    0.13903E-05   -0.44259E+02    0.10166E+01   -0.48694E-08    0.13903E-05   -0.48694E-08    0.29309E-11
   153    0.43690E+04   -0.44231E+02    0.13681E-05   -0.44231E+02    0.10109E+01   -0.47854E-08    0.13681E-05   -0.47854E-08    0.28750E-11
   154    0.43999E+04   -0.44180E+02    0.13463E-05   -0.44180E+02    0.10049E+01   -0.47081E-08    0.13463E-05   -0.47081E-08    0.28205E-11
   155    0.44306E+04   -0.44105E+02    0.13249E-05   -0.44105E+02    0.99860E+00   -0.46371E-08    0.13249E-05   -0.46371E-08    0.27672E-11
   156    0.44610E+04   -0.44006E+02    0.13039E-05   -0.44006E+02    0.99189E+00   -0.45719E-08    0.13039E-05   -0.45719E-08    0.27152E-11
   157    0.44912E+04   -0.43882E+02    0.12833E-05   -0.43882E+02    0.98483E+00   -0.45119E-08    0.12833E-05   -0.45119E-08    0.26645E-11
   158    0.45212E+04   -0.43733E+02    0.12631E-05   -0.43733E+02    0.97750E+00   -0.44566E-08    0.12631E-05   -0.44566E-08    0.26149E-11
   159    0.45509E+04   -0.43559E+02    0.12432E-05   -0.43559E+02    0.96973E+00   -0.44056E-08    0.12432E-05   -0.44056E-08    0.25665E-11
   160    0.45804E+04   -0.43360E+02    0.12238E-05   -0.43360E+02    0.96169E+00   -0.43583E-08    0.12238E-05   -0.43583E-08    0.25193E-11
   161    0.46096E+04   -0.43135E+02    0.12047E-05   -0.43135E+02    0.95343E+00   -0.43143E-08    0.12047E-05   -0.43143E-08    0.24732E-11
   162    0.46386E+04   -0.42886E+02    0.11859E-05   -0.42886E+02    0.94482E+00   -0.42730E-08    0.11859E-05   -0.42730E-08    0.24282E-11
   163    0.46674E+04   -0.42611E+02    0.11676E-05   -0.42611E+02    0.93593E+00   -0.42340E-08    0.11676E-05   -0.42340E-08    0.23842E-11
   164    0.46958E+04   -0.42311E+02    0.11496E-05   -0.42311E+02    0.92683E+00   -0.41967E-08    0.11496E-05   -0.41967E-08    0.23413E-11
   165    0.47240E+04   -0.41984E+02    0.11319E-05   -0.41984E+02    0.91745E+00   -0.41606E-08    0.11319E-05   -0.41606E-08    0.22993E-11
   166    0.47519E+04   -0.41632E+02    0.11146E-05   -0.41632E+02    0.90793E+00   -0.41253E-08    0.11146E-05   -0.41253E-08    0.22584E-11
   167    0.47796E+04   -0.41255E+02    0.10976E-05   -0.41255E+02    0.89805E+00   -0.40902E-08    0.10976E-05   -0.40902E-08    0.22184E-11
   168    0.48069E+04   -0.40851E+02    0.10810E-05   -0.40851E+02    0.88819E+00   -0.40548E-08    0.10810E-05   -0.40548E-08    0.21794E-11
   169    0.48338E+04   -0.40420E+02    0.10647E-05   -0.40420E+02    0.87804E+00   -0.40187E-08    0.10647E-05   -0.40187E-08    0.21412E-11
   170    0.48605E+04   -0.39964E+02    0.10487E-05   -0.39964E+02    0.86782E+00   -0.39812E-08    0.10487E-05   -0.39812E-08    0.21039E-11
   171    0.48867E+04   -0.39480E+02    0.10330E-05   -0.39480E+02    0.85754E+00   -0.39420E-08    0.10330E-05   -0.39420E-08    0.20674E-11
   172    0.49125E+04   -0.38969E+02    0.10176E-05   -0.38969E+02    0.84712E+00   -0.39005E-08    0.10176E-05   -0.39005E-08    0.20318E-11
