#    L    TT             EE             BB             TE          
   264    0.51618E+04    0.29549E+01    0.22887E-01    0.73209E+02
   265    0.51412E+04    0.30476E+01    0.23053E-01    0.74635E+02
   266    0.51202E+04    0.31425E+01    0.23219E-01    0.76060E+02
   267    0.50988E+04    0.32393E+01    0.23385E-01    0.77460E+02
   268    0.50769E+04    0.33384E+01    0.23551E-01    0.78851E+02
   269    0.50545E+04    0.34394E+01    0.23716E-01    0.80225E+02
   270    0.50319E+04    0.35425E+01    0.23881E-01    0.81582E+02
   271    0.50087E+04    0.36476E+01    0.24045E-01    0.82921E+02
   272    0.49853E+04    0.37550E+01    0.24209E-01    0.84237E+02
   273    0.49615E+04    0.38641E+01    0.24373E-01    0.85543E+02
   274    0.49373E+04    0.39755E+01    0.24537E-01    0.86817E+02
   275    0.49127E+04    0.40887E+01    0.24700E-01    0.88082E+02
   276    0.48878E+04    0.42040E+01    0.24862E-01    0.89314E+02
   277    0.48624E+04    0.43213E+01    0.25024E-01    0.90538E+02
   278    0.48368E+04    0.44407E+01    0.25186E-01    0.91729E+02
   279    0.48109E+04    0.45619E+01    0.25347E-01    0.92897E+02
   280    0.47846E+04    0.46852E+01    0.25508E-01    0.94054E+02
   281    0.47581E+04    0.48104E+01    0.25668E-01    0.95180E+02
   282    0.47311E+04    0.49374E+01    0.25828E-01    0.96282E+02
   283    0.47040E+04    0.50663E+01    0.25987E-01    0.97359E+02
   284    0.46765E+04    0.51972E+01    0.26146E-01    0.98412E+02
   285    0.46488E+04    0.53300E+01    0.26304E-01    0.99441E+02
   286    0.46208E+04    0.54646E+01    0.26462E-01    0.10044E+03
   287    0.45924E+04    0.56010E+01    0.26619E-01    0.10142E+03
   288    0.45639E+04    0.57392E+01    0.26776E-01    0.10237E+03
   289    0.45351E+04    0.58791E+01    0.26932E-01    0.10329E+03
   290    0.45060E+04    0.60207E+01    0.27087E-01    0.10419E+03
   291    0.44768E+04    0.61646E+01    0.27242E-01    0.10505E+03
   292    0.44471E+04    0.63097E+01    0.27396E-01    0.10589E+03
   293    0.44175E+04    0.64558E+01    0.27550E-01    0.10670E+03
   294    0.43875E+04    0.66043E+01    0.27703E-01    0.10748E+03
   295    0.43575E+04    0.67536E+01    0.27855E-01    0.10823E+03
   296    0.43271E+04    0.69054E+01    0.28007E-01    0.10896E+03
   297    0.42966E+04    0.70575E+01    0.28158E-01    0.10966E+03
   298    0.42658E+04    0.72119E+01    0.28309E-01    0.11032E+03
   299    0.42350E+04    0.73680E+01    0.28458E-01    0.11095E+03
   300    0.42039E+04    0.75244E+01    0.28608E-01    0.11154E+03
   301    0.41727E+04    0.76826E+01    0.28756E-01    0.11212E+03
   302    0.41414E+04    0.78417E+01    0.28904E-01    0.11267E+03
   303    0.41100E+04    0.80025E+01    0.29051E-01    0.11318E+03
   304    0.40784E+04    0.81652E+01    0.29197E-01    0.11364E+03
   305    0.40468E+04    0.83281E+01    0.29342E-01    0.11409E+03
   306    0.40150E+04    0.84921E+01    0.29487E-01    0.11450E+03
   307    0.39831E+04    0.86571E+01    0.29631E-01    0.11487E+03
   308    0.39511E+04    0.88247E+01    0.29775E-01    0.11523E+03
   309    0.39192E+04    0.89919E+01    0.29917E-01    0.11554E+03
   310    0.38871E+04    0.91594E+01    0.30059E-01    0.11582E+03
   311    0.38550E+04    0.93295E+01    0.30200E-01    0.11606E+03
   312    0.38229E+04    0.94992E+01    0.30340E-01    0.11627E+03
   313    0.37907E+04    0.96701E+01    0.30480E-01    0.11644E+03
   314    0.37586E+04    0.98421E+01    0.30618E-01    0.11659E+03
   315    0.37264E+04    0.10014E+02    0.30756E-01    0.11670E+03
   316    0.36942E+04    0.10187E+02    0.30893E-01    0.11677E+03
   317    0.36621E+04    0.10359E+02    0.31029E-01    0.11681E+03
   318    0.36299E+04    0.10533E+02    0.31164E-01    0.11681E+03
   319    0.35978E+04    0.10708E+02    0.31299E-01    0.11678E+03
   320    0.35657E+04    0.10882E+02    0.31433E-01    0.11672E+03
   321    0.35337E+04    0.11058E+02    0.31566E-01    0.11662E+03
   322    0.35017E+04    0.11233E+02    0.31698E-01    0.11649E+03
   323    0.34698E+04    0.11408E+02    0.31829E-01    0.11632E+03
   324    0.34380E+04    0.11585E+02    0.31959E-01    0.11610E+03
   325    0.34063E+04    0.11759E+02    0.32089E-01    0.11587E+03
   326    0.33746E+04    0.11935E+02    0.32218E-01    0.11559E+03
   327    0.33431E+04    0.12111E+02    0.32346E-01    0.11528E+03
   328    0.33117E+04    0.12286E+02    0.32473E-01    0.11494E+03
   329    0.32804E+04    0.12461E+02    0.32600E-01    0.11455E+03
   330    0.32492E+04    0.12636E+02    0.32725E-01    0.11413E+03
   331    0.32182E+04    0.12810E+02    0.32850E-01    0.11368E+03
   332    0.31873E+04    0.12985E+02    0.32974E-01    0.11321E+03
   333    0.31566E+04    0.13159E+02    0.33097E-01    0.11269E+03
   334    0.31260E+04    0.13333E+02    0.33220E-01    0.11214E+03
   335    0.30955E+04    0.13506E+02    0.33342E-01    0.11155E+03
   336    0.30653E+04    0.13678E+02    0.33463E-01    0.11094E+03
   337    0.30352E+04    0.13851E+02    0.33583E-01    0.11027E+03
   338    0.30053E+04    0.14021E+02    0.33703E-01    0.10959E+03
   339    0.29757E+04    0.14193E+02    0.33822E-01    0.10887E+03
   340    0.29462E+04    0.14363E+02    0.33940E-01    0.10812E+03
   341    0.29169E+04    0.14531E+02    0.34057E-01    0.10733E+03
   342    0.28878E+04    0.14700E+02    0.34174E-01    0.10651E+03
   343    0.28590E+04    0.14867E+02    0.34291E-01    0.10566E+03
   344    0.28304E+04    0.15033E+02    0.34406E-01    0.10478E+03
   345    0.28020E+04    0.15198E+02    0.34522E-01    0.10386E+03
   346    0.27738E+04    0.15362E+02    0.34636E-01    0.10293E+03
   347    0.27459E+04    0.15525E+02    0.34750E-01    0.10195E+03
   348    0.27183E+04    0.15686E+02    0.34863E-01    0.10094E+03
