#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.167378E-01   0.139340E+08   0.139060E+08   0.347434E+04   0.479227E+04   0.000000E+00   0.139293E+08   0.139293E+08   0.139293E+08  -0.602588E+00   0.797010E+07   0.796943E+07   0.133053E+02
   0.184872E-01   0.131805E+08   0.131489E+08   0.274942E+04   0.376775E+04   0.000000E+00   0.131752E+08   0.131752E+08   0.131752E+08  -0.571771E+00   0.754213E+07   0.754146E+07   0.120964E+02
   0.204195E-01   0.123894E+08   0.123539E+08   0.230714E+04   0.293701E+04   0.000000E+00   0.123834E+08   0.123834E+08   0.123834E+08  -0.538857E+00   0.709166E+07   0.709099E+07   0.109885E+02
   0.225537E-01   0.115505E+08   0.115111E+08   0.183441E+04   0.226636E+04   0.000000E+00   0.115439E+08   0.115439E+08   0.115439E+08  -0.503471E+00   0.661306E+07   0.661239E+07   0.994785E+01
   0.249110E-01   0.107014E+08   0.106584E+08   0.147150E+04   0.173515E+04   0.000000E+00   0.106941E+08   0.106941E+08   0.106941E+08  -0.467310E+00   0.612799E+07   0.612732E+07   0.896238E+01
   0.275146E-01   0.985043E+07   0.980440E+07   0.106456E+04   0.131803E+04   0.000000E+00   0.984270E+07   0.984270E+07   0.984270E+07  -0.430799E+00   0.564141E+07   0.564075E+07   0.800595E+01
   0.303904E-01   0.899767E+07   0.894956E+07   0.829948E+03   0.992364E+03   0.000000E+00   0.898960E+07   0.898960E+07   0.898960E+07  -0.393994E+00   0.515345E+07   0.515281E+07   0.705247E+01
   0.335668E-01   0.816796E+07   0.811922E+07   0.624886E+03   0.741840E+03   0.000000E+00   0.815977E+07   0.815977E+07   0.815977E+07  -0.358029E+00   0.467850E+07   0.467789E+07   0.609226E+01
   0.370752E-01   0.739260E+07   0.734512E+07   0.466857E+03   0.552474E+03   0.000000E+00   0.738463E+07   0.738463E+07   0.738463E+07  -0.324323E+00   0.423463E+07   0.423406E+07   0.512794E+01
   0.409502E-01   0.669056E+07   0.664650E+07   0.358753E+03   0.411172E+03   0.000000E+00   0.668316E+07   0.668316E+07   0.668316E+07  -0.293745E+00   0.383281E+07   0.383229E+07   0.417311E+01
   0.450452E-01   0.609949E+07   0.606069E+07   0.517943E+03   0.310602E+03   0.000000E+00   0.609298E+07   0.609298E+07   0.609298E+07  -0.267972E+00   0.349464E+07   0.349419E+07   0.329590E+01
   0.491403E-01   0.563944E+07   0.560678E+07   0.402931E+03   0.241806E+03   0.000000E+00   0.563396E+07   0.563396E+07   0.563396E+07  -0.247903E+00   0.323158E+07   0.323120E+07   0.256455E+01
   0.532353E-01   0.527027E+07   0.524374E+07   0.321205E+03   0.192871E+03   0.000000E+00   0.526582E+07   0.526582E+07   0.526582E+07  -0.231791E+00   0.302057E+07   0.302025E+07   0.198223E+01
   0.573303E-01   0.496026E+07   0.493910E+07   0.260903E+03   0.156732E+03   0.000000E+00   0.495671E+07   0.495671E+07   0.495671E+07  -0.218250E+00   0.284337E+07   0.284311E+07   0.154435E+01
   0.614253E-01   0.468303E+07   0.466600E+07   0.214731E+03   0.129043E+03   0.000000E+00   0.468017E+07   0.468017E+07   0.468017E+07  -0.206124E+00   0.268483E+07   0.268460E+07   0.123693E+01
   0.655204E-01   0.442049E+07   0.440609E+07   0.178251E+03   0.107152E+03   0.000000E+00   0.441807E+07   0.441807E+07   0.441807E+07  -0.194619E+00   0.253454E+07   0.253434E+07   0.103879E+01
   0.696154E-01   0.416146E+07   0.414824E+07   0.148711E+03   0.894166E+02   0.000000E+00   0.415924E+07   0.415924E+07   0.415924E+07  -0.183248E+00   0.238611E+07   0.238592E+07   0.924067E+00
   0.737104E-01   0.390892E+07   0.389565E+07   0.124636E+03   0.749569E+02   0.000000E+00   0.390669E+07   0.390669E+07   0.390669E+07  -0.172145E+00   0.224127E+07   0.224108E+07   0.866765E+00
   0.778054E-01   0.365129E+07   0.363717E+07   0.104512E+03   0.628655E+02   0.000000E+00   0.364892E+07   0.364892E+07   0.364892E+07  -0.160806E+00   0.209343E+07   0.209323E+07   0.839301E+00
   0.819004E-01   0.340160E+07   0.338628E+07   0.878851E+02   0.528721E+02   0.000000E+00   0.339903E+07   0.339903E+07   0.339903E+07  -0.149808E+00   0.195009E+07   0.194989E+07   0.822037E+00
   0.859955E-01   0.316753E+07   0.315109E+07   0.742366E+02   0.446671E+02   0.000000E+00   0.316477E+07   0.316477E+07   0.316477E+07  -0.139495E+00   0.181572E+07   0.181551E+07   0.800082E+00
   0.910661E-01   0.290969E+07   0.289249E+07   0.608177E+02   0.365982E+02   0.000000E+00   0.290680E+07   0.290680E+07   0.290680E+07  -0.128137E+00   0.166774E+07   0.166753E+07   0.754166E+00
   0.961367E-01   0.269554E+07   0.267858E+07   0.505618E+02   0.304301E+02   0.000000E+00   0.269269E+07   0.269269E+07   0.269269E+07  -0.118708E+00   0.154491E+07   0.154472E+07   0.684375E+00
   0.101207E+00   0.252679E+07   0.251107E+07   0.427742E+02   0.257458E+02   0.000000E+00   0.252415E+07   0.252415E+07   0.252415E+07  -0.111285E+00   0.144823E+07   0.144805E+07   0.596792E+00
   0.106278E+00   0.239684E+07   0.238306E+07   0.368035E+02   0.221539E+02   0.000000E+00   0.239452E+07   0.239452E+07   0.239452E+07  -0.105576E+00   0.137386E+07   0.137370E+07   0.502867E+00
   0.111348E+00   0.229359E+07   0.228205E+07   0.320918E+02   0.193191E+02   0.000000E+00   0.229165E+07   0.229165E+07   0.229165E+07  -0.101045E+00   0.131485E+07   0.131471E+07   0.414887E+00
   0.116419E+00   0.220384E+07   0.219434E+07   0.282152E+02   0.169864E+02   0.000000E+00   0.220225E+07   0.220225E+07   0.220225E+07  -0.971074E-01   0.126356E+07   0.126344E+07   0.342475E+00
   0.121490E+00   0.211630E+07   0.210833E+07   0.248848E+02   0.149823E+02   0.000000E+00   0.211496E+07   0.211496E+07   0.211496E+07  -0.932622E-01   0.121348E+07   0.121338E+07   0.290577E+00
   0.126560E+00   0.202375E+07   0.201660E+07   0.219307E+02   0.132044E+02   0.000000E+00   0.202255E+07   0.202255E+07   0.202255E+07  -0.891901E-01   0.116046E+07   0.116036E+07   0.259134E+00
   0.131631E+00   0.192416E+07   0.191716E+07   0.192770E+02   0.116071E+02   0.000000E+00   0.192298E+07   0.192298E+07   0.192298E+07  -0.848020E-01   0.110334E+07   0.110324E+07   0.244106E+00
   0.136701E+00   0.181987E+07   0.181253E+07   0.169047E+02   0.101791E+02   0.000000E+00   0.181864E+07   0.181864E+07   0.181864E+07  -0.802025E-01   0.104348E+07   0.104338E+07   0.239199E+00
