#    L    TT             EE             BB             TE          
   218    0.55455E+04    0.72052E+00    0.15196E-01    0.26428E+01
   219    0.55499E+04    0.73304E+00    0.15352E-01    0.40576E+01
   220    0.55538E+04    0.74684E+00    0.15508E-01    0.54841E+01
   221    0.55570E+04    0.76187E+00    0.15665E-01    0.69247E+01
   222    0.55598E+04    0.77827E+00    0.15823E-01    0.83778E+01
   223    0.55618E+04    0.79595E+00    0.15981E-01    0.98444E+01
   224    0.55634E+04    0.81493E+00    0.16140E-01    0.11321E+02
   225    0.55644E+04    0.83535E+00    0.16300E-01    0.12810E+02
   226    0.55648E+04    0.85720E+00    0.16460E-01    0.14309E+02
   227    0.55646E+04    0.88049E+00    0.16620E-01    0.15818E+02
   228    0.55639E+04    0.90521E+00    0.16781E-01    0.17338E+02
   229    0.55626E+04    0.93144E+00    0.16943E-01    0.18865E+02
   230    0.55607E+04    0.95917E+00    0.17105E-01    0.20401E+02
   231    0.55582E+04    0.98849E+00    0.17267E-01    0.21946E+02
   232    0.55551E+04    0.10193E+01    0.17430E-01    0.23497E+02
   233    0.55515E+04    0.10519E+01    0.17594E-01    0.25054E+02
   234    0.55471E+04    0.10860E+01    0.17757E-01    0.26618E+02
   235    0.55423E+04    0.11217E+01    0.17922E-01    0.28187E+02
   236    0.55368E+04    0.11591E+01    0.18086E-01    0.29761E+02
   237    0.55307E+04    0.11983E+01    0.18251E-01    0.31338E+02
   238    0.55240E+04    0.12392E+01    0.18416E-01    0.32920E+02
   239    0.55169E+04    0.12818E+01    0.18582E-01    0.34505E+02
   240    0.55090E+04    0.13261E+01    0.18747E-01    0.36091E+02
   241    0.55006E+04    0.13722E+01    0.18913E-01    0.37679E+02
   242    0.54917E+04    0.14201E+01    0.19080E-01    0.39268E+02
   243    0.54822E+04    0.14698E+01    0.19246E-01    0.40858E+02
   244    0.54721E+04    0.15213E+01    0.19413E-01    0.42448E+02
   245    0.54615E+04    0.15747E+01    0.19579E-01    0.44036E+02
   246    0.54503E+04    0.16299E+01    0.19746E-01    0.45624E+02
   247    0.54385E+04    0.16869E+01    0.19913E-01    0.47209E+02
   248    0.54262E+04    0.17460E+01    0.20080E-01    0.48792E+02
   249    0.54135E+04    0.18068E+01    0.20247E-01    0.50371E+02
   250    0.54001E+04    0.18697E+01    0.20415E-01    0.51947E+02
   251    0.53863E+04    0.19343E+01    0.20582E-01    0.53518E+02
   252    0.53719E+04    0.20009E+01    0.20749E-01    0.55085E+02
   253    0.53571E+04    0.20694E+01    0.20916E-01    0.56645E+02
   254    0.53417E+04    0.21399E+01    0.21083E-01    0.58198E+02
   255    0.53258E+04    0.22123E+01    0.21250E-01    0.59745E+02
   256    0.53094E+04    0.22868E+01    0.21417E-01    0.61285E+02
   257    0.52926E+04    0.23632E+01    0.21584E-01    0.62811E+02
   258    0.52753E+04    0.24416E+01    0.21751E-01    0.64334E+02
   259    0.52574E+04    0.25221E+01    0.21917E-01    0.65840E+02
   260    0.52392E+04    0.26046E+01    0.22084E-01    0.67345E+02
   261    0.52205E+04    0.26891E+01    0.22250E-01    0.68825E+02
   262    0.52012E+04    0.27758E+01    0.22416E-01    0.70302E+02
   263    0.51818E+04    0.28644E+01    0.22582E-01    0.71771E+02
   264    0.51617E+04    0.29551E+01    0.22747E-01    0.73222E+02
   265    0.51411E+04    0.30478E+01    0.22912E-01    0.74649E+02
   266    0.51202E+04    0.31427E+01    0.23077E-01    0.76074E+02
   267    0.50987E+04    0.32396E+01    0.23242E-01    0.77474E+02
   268    0.50769E+04    0.33386E+01    0.23406E-01    0.78865E+02
   269    0.50545E+04    0.34397E+01    0.23570E-01    0.80239E+02
   270    0.50318E+04    0.35428E+01    0.23734E-01    0.81596E+02
   271    0.50087E+04    0.36479E+01    0.23897E-01    0.82936E+02
   272    0.49853E+04    0.37553E+01    0.24060E-01    0.84251E+02
   273    0.49614E+04    0.38644E+01    0.24223E-01    0.85557E+02
   274    0.49372E+04    0.39758E+01    0.24385E-01    0.86832E+02
   275    0.49126E+04    0.40891E+01    0.24547E-01    0.88097E+02
   276    0.48877E+04    0.42044E+01    0.24708E-01    0.89330E+02
   277    0.48624E+04    0.43218E+01    0.24869E-01    0.90553E+02
   278    0.48368E+04    0.44411E+01    0.25030E-01    0.91745E+02
   279    0.48108E+04    0.45624E+01    0.25190E-01    0.92912E+02
   280    0.47845E+04    0.46857E+01    0.25349E-01    0.94070E+02
   281    0.47580E+04    0.48109E+01    0.25508E-01    0.95196E+02
   282    0.47311E+04    0.49379E+01    0.25667E-01    0.96297E+02
   283    0.47039E+04    0.50669E+01    0.25825E-01    0.97375E+02
   284    0.46764E+04    0.51978E+01    0.25983E-01    0.98428E+02
   285    0.46487E+04    0.53306E+01    0.26140E-01    0.99456E+02
   286    0.46207E+04    0.54652E+01    0.26296E-01    0.10045E+03
   287    0.45923E+04    0.56016E+01    0.26452E-01    0.10143E+03
   288    0.45638E+04    0.57398E+01    0.26608E-01    0.10238E+03
   289    0.45350E+04    0.58798E+01    0.26762E-01    0.10331E+03
   290    0.45060E+04    0.60214E+01    0.26917E-01    0.10420E+03
   291    0.44767E+04    0.61653E+01    0.27070E-01    0.10507E+03
   292    0.44470E+04    0.63105E+01    0.27223E-01    0.10591E+03
   293    0.44174E+04    0.64566E+01    0.27376E-01    0.10671E+03
   294    0.43874E+04    0.66051E+01    0.27528E-01    0.10750E+03
   295    0.43574E+04    0.67545E+01    0.27679E-01    0.10825E+03
   296    0.43270E+04    0.69063E+01    0.27830E-01    0.10897E+03
   297    0.42965E+04    0.70583E+01    0.27980E-01    0.10967E+03
   298    0.42657E+04    0.72128E+01    0.28129E-01    0.11033E+03
   299    0.42349E+04    0.73690E+01    0.28278E-01    0.11096E+03
   300    0.42038E+04    0.75254E+01    0.28426E-01    0.11156E+03
   301    0.41726E+04    0.76835E+01    0.28573E-01    0.11213E+03
   302    0.41413E+04    0.78427E+01    0.28719E-01    0.11268E+03
   303    0.41099E+04    0.80036E+01    0.28865E-01    0.11319E+03
   304    0.40783E+04    0.81662E+01    0.29011E-01    0.11366E+03
   305    0.40466E+04    0.83292E+01    0.29155E-01    0.11410E+03
   306    0.40148E+04    0.84932E+01    0.29299E-01    0.11452E+03
   307    0.39829E+04    0.86582E+01    0.29442E-01    0.11489E+03
   308    0.39510E+04    0.88258E+01    0.29584E-01    0.11524E+03
   309    0.39190E+04    0.89930E+01    0.29725E-01    0.11555E+03
   310    0.38869E+04    0.91606E+01    0.29866E-01    0.11583E+03
   311    0.38548E+04    0.93307E+01    0.30006E-01    0.11607E+03
   312    0.38227E+04    0.95005E+01    0.30145E-01    0.11628E+03
   313    0.37906E+04    0.96714E+01    0.30283E-01    0.11646E+03
   314    0.37584E+04    0.98434E+01    0.30421E-01    0.11660E+03
   315    0.37262E+04    0.10015E+02    0.30558E-01    0.11671E+03
   316    0.36940E+04    0.10188E+02    0.30694E-01    0.11678E+03
   317    0.36619E+04    0.10360E+02    0.30829E-01    0.11682E+03
   318    0.36297E+04    0.10535E+02    0.30963E-01    0.11682E+03
   319    0.35976E+04    0.10709E+02    0.31097E-01    0.11679E+03
   320    0.35655E+04    0.10884E+02    0.31229E-01    0.11673E+03
   321    0.35335E+04    0.11059E+02    0.31361E-01    0.11663E+03
   322    0.35015E+04    0.11234E+02    0.31492E-01    0.11650E+03
   323    0.34696E+04    0.11410E+02    0.31622E-01    0.11633E+03
   324    0.34378E+04    0.11586E+02    0.31752E-01    0.11612E+03
   325    0.34061E+04    0.11760E+02    0.31881E-01    0.11588E+03
   326    0.33744E+04    0.11936E+02    0.32008E-01    0.11560E+03
   327    0.33429E+04    0.12112E+02    0.32135E-01    0.11529E+03
   328    0.33115E+04    0.12287E+02    0.32262E-01    0.11495E+03
   329    0.32801E+04    0.12463E+02    0.32387E-01    0.11456E+03
   330    0.32489E+04    0.12637E+02    0.32512E-01    0.11414E+03
   331    0.32180E+04    0.12812E+02    0.32636E-01    0.11369E+03
   332    0.31871E+04    0.12987E+02    0.32759E-01    0.11321E+03
   333    0.31563E+04    0.13161E+02    0.32881E-01    0.11270E+03
   334    0.31257E+04    0.13335E+02    0.33003E-01    0.11215E+03
   335    0.30953E+04    0.13508E+02    0.33124E-01    0.11156E+03
   336    0.30650E+04    0.13680E+02    0.33244E-01    0.11094E+03
   337    0.30349E+04    0.13853E+02    0.33363E-01    0.11028E+03
   338    0.30050E+04    0.14023E+02    0.33482E-01    0.10960E+03
   339    0.29754E+04    0.14195E+02    0.33600E-01    0.10887E+03
   340    0.29459E+04    0.14365E+02    0.33718E-01    0.10813E+03
   341    0.29166E+04    0.14533E+02    0.33834E-01    0.10734E+03
   342    0.28875E+04    0.14702E+02    0.33951E-01    0.10652E+03
   343    0.28586E+04    0.14869E+02    0.34066E-01    0.10566E+03
   344    0.28301E+04    0.15035E+02    0.34181E-01    0.10478E+03
   345    0.28017E+04    0.15200E+02    0.34295E-01    0.10387E+03
   346    0.27735E+04    0.15364E+02    0.34409E-01    0.10293E+03
   347    0.27456E+04    0.15527E+02    0.34522E-01    0.10195E+03
   348    0.27180E+04    0.15688E+02    0.34635E-01    0.10094E+03
   349    0.26905E+04    0.15848E+02    0.34747E-01    0.99905E+02
   350    0.26634E+04    0.16007E+02    0.34858E-01    0.98841E+02
   351    0.26367E+04    0.16164E+02    0.34969E-01    0.97745E+02
   352    0.26100E+04    0.16320E+02    0.35080E-01    0.96617E+02
   353    0.25837E+04    0.16474E+02    0.35190E-01    0.95471E+02
   354    0.25576E+04    0.16627E+02    0.35300E-01    0.94286E+02
   355    0.25319E+04    0.16778E+02    0.35409E-01    0.93076E+02
   356    0.25065E+04    0.16928E+02    0.35518E-01    0.91847E+02
   357    0.24814E+04    0.17075E+02    0.35627E-01    0.90586E+02
   358    0.24566E+04    0.17220E+02    0.35735E-01    0.89307E+02
   359    0.24321E+04    0.17363E+02    0.35843E-01    0.87995E+02
   360    0.24079E+04    0.17505E+02    0.35951E-01    0.86661E+02
   361    0.23841E+04    0.17644E+02    0.36058E-01    0.85300E+02
   362    0.23606E+04    0.17781E+02    0.36165E-01    0.83915E+02
   363    0.23374E+04    0.17917E+02    0.36272E-01    0.82509E+02
   364    0.23146E+04    0.18049E+02    0.36378E-01    0.81077E+02
   365    0.22921E+04    0.18179E+02    0.36484E-01    0.79626E+02
   366    0.22700E+04    0.18308E+02    0.36590E-01    0.78151E+02
   367    0.22482E+04    0.18432E+02    0.36696E-01    0.76656E+02
   368    0.22267E+04    0.18555E+02    0.36802E-01    0.75141E+02
   369    0.22058E+04    0.18676E+02    0.36907E-01    0.73605E+02
   370    0.21851E+04    0.18793E+02    0.37013E-01    0.72052E+02
   371    0.21648E+04    0.18908E+02    0.37118E-01    0.70479E+02
   372    0.21449E+04    0.19020E+02    0.37223E-01    0.68889E+02
   373    0.21253E+04    0.19129E+02    0.37328E-01    0.67280E+02
   374    0.21062E+04    0.19236E+02    0.37433E-01    0.65655E+02
   375    0.20873E+04    0.19340E+02    0.37538E-01    0.64014E+02
   376    0.20690E+04    0.19442E+02    0.37642E-01    0.62358E+02
   377    0.20510E+04    0.19539E+02    0.37747E-01    0.60688E+02
   378    0.20334E+04    0.19634E+02    0.37852E-01    0.59001E+02
   379    0.20162E+04    0.19726E+02    0.37957E-01    0.57303E+02
   380    0.19994E+04    0.19816E+02    0.38061E-01    0.55591E+02
   381    0.19830E+04    0.19900E+02    0.38166E-01    0.53867E+02
   382    0.19669E+04    0.19983E+02    0.38271E-01    0.52132E+02
   383    0.19513E+04    0.20062E+02    0.38376E-01    0.50384E+02
   384    0.19362E+04    0.20137E+02    0.38481E-01    0.48628E+02
   385    0.19214E+04    0.20210E+02    0.38586E-01    0.46861E+02
   386    0.19070E+04    0.20280E+02    0.38691E-01    0.45085E+02
   387    0.18930E+04    0.20346E+02    0.38796E-01    0.43301E+02
   388    0.18794E+04    0.20408E+02    0.38902E-01    0.41510E+02
   389    0.18662E+04    0.20465E+02    0.39008E-01    0.39711E+02
   390    0.18535E+04    0.20522E+02    0.39113E-01    0.37906E+02
   391    0.18411E+04    0.20575E+02    0.39219E-01    0.36095E+02
   392    0.18291E+04    0.20625E+02    0.39326E-01    0.34280E+02
   393    0.18177E+04    0.20671E+02    0.39432E-01    0.32459E+02
   394    0.18065E+04    0.20714E+02    0.39539E-01    0.30636E+02
