#    L    TT             EE             BB             TE             PP             TP             EP          
   139    0.37912E+04    0.10481E+01    0.00000E+00   -0.41501E+02    0.87745E-07    0.77629E-05   -0.91944E-06
   140    0.38238E+04    0.10497E+01    0.00000E+00   -0.41814E+02    0.87167E-07    0.90124E-05   -0.90102E-06
   141    0.38562E+04    0.10509E+01    0.00000E+00   -0.42109E+02    0.86594E-07    0.10230E-04   -0.88113E-06
   142    0.38886E+04    0.10516E+01    0.00000E+00   -0.42387E+02    0.86026E-07    0.11414E-04   -0.86013E-06
   143    0.39210E+04    0.10519E+01    0.00000E+00   -0.42648E+02    0.85464E-07    0.12565E-04   -0.83836E-06
   144    0.39532E+04    0.10517E+01    0.00000E+00   -0.42890E+02    0.84906E-07    0.13681E-04   -0.81620E-06
   145    0.39853E+04    0.10512E+01    0.00000E+00   -0.43114E+02    0.84354E-07    0.14763E-04   -0.79400E-06
   146    0.40175E+04    0.10502E+01    0.00000E+00   -0.43319E+02    0.83807E-07    0.15810E-04   -0.77210E-06
   147    0.40493E+04    0.10488E+01    0.00000E+00   -0.43503E+02    0.83265E-07    0.16820E-04   -0.75088E-06
   148    0.40811E+04    0.10468E+01    0.00000E+00   -0.43670E+02    0.82728E-07    0.17794E-04   -0.73067E-06
   149    0.41128E+04    0.10445E+01    0.00000E+00   -0.43816E+02    0.82196E-07    0.18730E-04   -0.71185E-06
   150    0.41443E+04    0.10418E+01    0.00000E+00   -0.43939E+02    0.81668E-07    0.19629E-04   -0.69476E-06
   151    0.41756E+04    0.10387E+01    0.00000E+00   -0.44044E+02    0.81146E-07    0.20490E-04   -0.67969E-06
   152    0.42067E+04    0.10351E+01    0.00000E+00   -0.44127E+02    0.80628E-07    0.21313E-04   -0.66658E-06
   153    0.42378E+04    0.10311E+01    0.00000E+00   -0.44188E+02    0.80115E-07    0.22100E-04   -0.65534E-06
   154    0.42686E+04    0.10268E+01    0.00000E+00   -0.44227E+02    0.79607E-07    0.22852E-04   -0.64582E-06
   155    0.42993E+04    0.10221E+01    0.00000E+00   -0.44245E+02    0.79103E-07    0.23570E-04   -0.63793E-06
   156    0.43296E+04    0.10170E+01    0.00000E+00   -0.44241E+02    0.78604E-07    0.24256E-04   -0.63153E-06
   157    0.43599E+04    0.10115E+01    0.00000E+00   -0.44214E+02    0.78109E-07    0.24910E-04   -0.62652E-06
   158    0.43900E+04    0.10057E+01    0.00000E+00   -0.44165E+02    0.77619E-07    0.25533E-04   -0.62277E-06
   159    0.44198E+04    0.99949E+00    0.00000E+00   -0.44093E+02    0.77133E-07    0.26128E-04   -0.62016E-06
   160    0.44495E+04    0.99293E+00    0.00000E+00   -0.43996E+02    0.76652E-07    0.26694E-04   -0.61859E-06
   161    0.44789E+04    0.98613E+00    0.00000E+00   -0.43877E+02    0.76175E-07    0.27234E-04   -0.61792E-06
   162    0.45082E+04    0.97892E+00    0.00000E+00   -0.43736E+02    0.75703E-07    0.27748E-04   -0.61804E-06
   163    0.45373E+04    0.97139E+00    0.00000E+00   -0.43570E+02    0.75234E-07    0.28237E-04   -0.61884E-06
   164    0.45660E+04    0.96359E+00    0.00000E+00   -0.43381E+02    0.74771E-07    0.28703E-04   -0.62020E-06
   165    0.45947E+04    0.95546E+00    0.00000E+00   -0.43167E+02    0.74311E-07    0.29146E-04   -0.62199E-06
   166    0.46231E+04    0.94712E+00    0.00000E+00   -0.42930E+02    0.73856E-07    0.29569E-04   -0.62410E-06
   167    0.46513E+04    0.93837E+00    0.00000E+00   -0.42669E+02    0.73404E-07    0.29972E-04   -0.62642E-06
   168    0.46791E+04    0.92956E+00    0.00000E+00   -0.42384E+02    0.72957E-07    0.30356E-04   -0.62882E-06
   169    0.47067E+04    0.92039E+00    0.00000E+00   -0.42073E+02    0.72514E-07    0.30722E-04   -0.63118E-06
   170    0.47340E+04    0.91109E+00    0.00000E+00   -0.41738E+02    0.72075E-07    0.31072E-04   -0.63340E-06
   171    0.47609E+04    0.90164E+00    0.00000E+00   -0.41378E+02    0.71640E-07    0.31407E-04   -0.63535E-06
   172    0.47875E+04    0.89197E+00    0.00000E+00   -0.40993E+02    0.71209E-07    0.31727E-04   -0.63691E-06
   173    0.48138E+04    0.88208E+00    0.00000E+00   -0.40583E+02    0.70782E-07    0.32035E-04   -0.63797E-06
   174    0.48397E+04    0.87225E+00    0.00000E+00   -0.40148E+02    0.70358E-07    0.32331E-04   -0.63840E-06
   175    0.48654E+04    0.86219E+00    0.00000E+00   -0.39688E+02    0.69939E-07    0.32616E-04   -0.63810E-06
   176    0.48906E+04    0.85211E+00    0.00000E+00   -0.39202E+02    0.69524E-07    0.32891E-04   -0.63697E-06
   177    0.49155E+04    0.84193E+00    0.00000E+00   -0.38693E+02    0.69112E-07    0.33157E-04   -0.63501E-06
   178    0.49400E+04    0.83188E+00    0.00000E+00   -0.38157E+02    0.68704E-07    0.33414E-04   -0.63225E-06
   179    0.49640E+04    0.82164E+00    0.00000E+00   -0.37596E+02    0.68299E-07    0.33661E-04   -0.62872E-06
   180    0.49879E+04    0.81143E+00    0.00000E+00   -0.37010E+02    0.67899E-07    0.33899E-04   -0.62445E-06
   181    0.50113E+04    0.80125E+00    0.00000E+00   -0.36400E+02    0.67501E-07    0.34129E-04   -0.61947E-06
   182    0.50343E+04    0.79116E+00    0.00000E+00   -0.35764E+02    0.67108E-07    0.34349E-04   -0.61381E-06
   183    0.50568E+04    0.78108E+00    0.00000E+00   -0.35103E+02    0.66718E-07    0.34560E-04   -0.60749E-06
   184    0.50790E+04    0.77109E+00    0.00000E+00   -0.34417E+02    0.66331E-07    0.34762E-04   -0.60055E-06
   185    0.51009E+04    0.76132E+00    0.00000E+00   -0.33707E+02    0.65948E-07    0.34955E-04   -0.59301E-06
   186    0.51219E+04    0.75163E+00    0.00000E+00   -0.32971E+02    0.65569E-07    0.35140E-04   -0.58491E-06
   187    0.51429E+04    0.74214E+00    0.00000E+00   -0.32210E+02    0.65193E-07    0.35316E-04   -0.57627E-06
   188    0.51634E+04    0.73285E+00    0.00000E+00   -0.31425E+02    0.64820E-07    0.35483E-04   -0.56713E-06
   189    0.51834E+04    0.72378E+00    0.00000E+00   -0.30615E+02    0.64450E-07    0.35642E-04   -0.55750E-06
   190    0.52033E+04    0.71497E+00    0.00000E+00   -0.29782E+02    0.64084E-07    0.35792E-04   -0.54742E-06
   191    0.52224E+04    0.70644E+00    0.00000E+00   -0.28923E+02    0.63721E-07    0.35934E-04   -0.53692E-06
   192    0.52412E+04    0.69821E+00    0.00000E+00   -0.28040E+02    0.63361E-07    0.36068E-04   -0.52603E-06
   193    0.52594E+04    0.69032E+00    0.00000E+00   -0.27135E+02    0.63004E-07    0.36194E-04   -0.51477E-06
   194    0.52773E+04    0.68278E+00    0.00000E+00   -0.26204E+02    0.62650E-07    0.36311E-04   -0.50318E-06
   195    0.52947E+04    0.67564E+00    0.00000E+00   -0.25251E+02    0.62300E-07    0.36420E-04   -0.49129E-06
   196    0.53116E+04    0.66891E+00    0.00000E+00   -0.24274E+02    0.61952E-07    0.36521E-04   -0.47911E-06
   197    0.53281E+04    0.66264E+00    0.00000E+00   -0.23275E+02    0.61607E-07    0.36615E-04   -0.46669E-06
   198    0.53441E+04    0.65685E+00    0.00000E+00   -0.22253E+02    0.61266E-07    0.36700E-04   -0.45405E-06
   199    0.53597E+04    0.65156E+00    0.00000E+00   -0.21209E+02    0.60927E-07    0.36778E-04   -0.44122E-06
   200    0.53748E+04    0.64680E+00    0.00000E+00   -0.20143E+02    0.60591E-07    0.36848E-04   -0.42823E-06
   201    0.53894E+04    0.64263E+00    0.00000E+00   -0.19054E+02    0.60258E-07    0.36910E-04   -0.41510E-06
   202    0.54036E+04    0.63904E+00    0.00000E+00   -0.17945E+02    0.59928E-07    0.36965E-04   -0.40184E-06
