#    L    TT             EE             BB             TE             PP             TP             EP          
   122    0.32778E+04    0.10442E+01    0.50187E-01   -0.35539E+02    0.98959E-07   -0.13662E-04   -0.75071E-06
   123    0.33085E+04    0.10523E+01    0.49564E-01   -0.36034E+02    0.98291E-07   -0.12307E-04   -0.78449E-06
   124    0.33394E+04    0.10600E+01    0.48933E-01   -0.36518E+02    0.97630E-07   -0.11000E-04   -0.81750E-06
   125    0.33703E+04    0.10674E+01    0.48293E-01   -0.36993E+02    0.96974E-07   -0.97376E-05   -0.84914E-06
   126    0.34013E+04    0.10744E+01    0.47646E-01   -0.37458E+02    0.96324E-07   -0.85136E-05   -0.87880E-06
   127    0.34324E+04    0.10809E+01    0.46991E-01   -0.37913E+02    0.95679E-07   -0.73236E-05   -0.90585E-06
   128    0.34636E+04    0.10871E+01    0.46331E-01   -0.38357E+02    0.95041E-07   -0.61627E-05   -0.92971E-06
   129    0.34949E+04    0.10928E+01    0.45665E-01   -0.38789E+02    0.94408E-07   -0.50261E-05   -0.94974E-06
   130    0.35262E+04    0.10980E+01    0.44994E-01   -0.39208E+02    0.93780E-07   -0.39089E-05   -0.96534E-06
   131    0.35576E+04    0.11029E+01    0.44319E-01   -0.39617E+02    0.93159E-07   -0.28072E-05   -0.97606E-06
   132    0.35892E+04    0.11073E+01    0.43641E-01   -0.40012E+02    0.92542E-07   -0.17209E-05   -0.98210E-06
   133    0.36207E+04    0.11112E+01    0.42959E-01   -0.40395E+02    0.91932E-07   -0.65073E-06   -0.98381E-06
   134    0.36523E+04    0.11148E+01    0.42276E-01   -0.40763E+02    0.91327E-07    0.40243E-06   -0.98155E-06
   135    0.36839E+04    0.11179E+01    0.41590E-01   -0.41117E+02    0.90727E-07    0.14378E-05   -0.97569E-06
   136    0.37155E+04    0.11204E+01    0.40903E-01   -0.41455E+02    0.90133E-07    0.24545E-05   -0.96657E-06
   137    0.37471E+04    0.11226E+01    0.40215E-01   -0.41779E+02    0.89543E-07    0.34518E-05   -0.95456E-06
   138    0.37787E+04    0.11242E+01    0.39528E-01   -0.42087E+02    0.88960E-07    0.44289E-05   -0.94001E-06
   139    0.38102E+04    0.11256E+01    0.38840E-01   -0.42379E+02    0.88381E-07    0.53848E-05   -0.92328E-06
   140    0.38418E+04    0.11263E+01    0.38154E-01   -0.42655E+02    0.87807E-07    0.63189E-05   -0.90472E-06
