#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   136    0.36932E+04   -0.40463E+02    0.27356E-07   -0.40463E+02    0.10405E+01   -0.72372E-08    0.27356E-07   -0.72372E-08    0.48031E-11
   137    0.37260E+04   -0.40825E+02    0.36882E-07   -0.40825E+02    0.10434E+01   -0.71126E-08    0.36882E-07   -0.71126E-08    0.47019E-11
   138    0.37587E+04   -0.41171E+02    0.46069E-07   -0.41171E+02    0.10459E+01   -0.69662E-08    0.46069E-07   -0.69662E-08    0.46034E-11
   139    0.37912E+04   -0.41501E+02    0.54919E-07   -0.41501E+02    0.10481E+01   -0.68010E-08    0.54919E-07   -0.68010E-08    0.45075E-11
   140    0.38238E+04   -0.41814E+02    0.63432E-07   -0.41814E+02    0.10497E+01   -0.66202E-08    0.63432E-07   -0.66202E-08    0.44142E-11
   141    0.38562E+04   -0.42109E+02    0.71610E-07   -0.42109E+02    0.10509E+01   -0.64267E-08    0.71610E-07   -0.64267E-08    0.43235E-11
   142    0.38886E+04   -0.42387E+02    0.79456E-07   -0.42387E+02    0.10516E+01   -0.62236E-08    0.79456E-07   -0.62236E-08    0.42351E-11
   143    0.39210E+04   -0.42648E+02    0.86970E-07   -0.42648E+02    0.10519E+01   -0.60139E-08    0.86970E-07   -0.60139E-08    0.41491E-11
   144    0.39532E+04   -0.42890E+02    0.94154E-07   -0.42890E+02    0.10517E+01   -0.58006E-08    0.94154E-07   -0.58006E-08    0.40653E-11
   145    0.39853E+04   -0.43114E+02    0.10101E-06   -0.43114E+02    0.10512E+01   -0.55869E-08    0.10101E-06   -0.55869E-08    0.39837E-11
   146    0.40175E+04   -0.43319E+02    0.10754E-06   -0.43319E+02    0.10502E+01   -0.53756E-08    0.10754E-06   -0.53756E-08    0.39042E-11
   147    0.40493E+04   -0.43503E+02    0.11375E-06   -0.43503E+02    0.10488E+01   -0.51699E-08    0.11375E-06   -0.51699E-08    0.38268E-11
   148    0.40811E+04   -0.43670E+02    0.11963E-06   -0.43670E+02    0.10468E+01   -0.49728E-08    0.11963E-06   -0.49728E-08    0.37512E-11
