#           k/h    P           
    0.26973E+00    0.12165E+04
    0.27518E+00    0.11615E+04
    0.28074E+00    0.11128E+04
    0.28641E+00    0.10708E+04
    0.29219E+00    0.10342E+04
    0.29810E+00    0.10007E+04
    0.30412E+00    0.96766E+03
    0.31026E+00    0.93330E+03
    0.31653E+00    0.89676E+03
    0.32292E+00    0.85856E+03
    0.32945E+00    0.82041E+03
    0.33610E+00    0.78421E+03
    0.34289E+00    0.75109E+03
    0.34982E+00    0.72135E+03
    0.35689E+00    0.69444E+03
    0.36409E+00    0.66898E+03
    0.37145E+00    0.64365E+03
    0.37895E+00    0.61786E+03
    0.38661E+00    0.59175E+03
    0.39442E+00    0.56612E+03
    0.40239E+00    0.54185E+03
    0.41052E+00    0.51937E+03
    0.41881E+00    0.49858E+03
    0.42727E+00    0.47888E+03
    0.43590E+00    0.45964E+03
    0.44471E+00    0.44057E+03
    0.45369E+00    0.42179E+03
    0.46286E+00    0.40371E+03
    0.47221E+00    0.38663E+03
    0.48174E+00    0.37056E+03
    0.49148E+00    0.35527E+03
    0.50141E+00    0.34045E+03
    0.51153E+00    0.32601E+03
    0.52187E+00    0.31202E+03
    0.53241E+00    0.29864E+03
    0.54317E+00    0.28595E+03
    0.55414E+00    0.27382E+03
    0.56533E+00    0.26214E+03
    0.57675E+00    0.25086E+03
    0.58840E+00    0.24002E+03
    0.60029E+00    0.22964E+03
    0.61242E+00    0.21972E+03
    0.62479E+00    0.21022E+03
    0.63741E+00    0.20111E+03
    0.65029E+00    0.19238E+03
    0.66342E+00    0.18399E+03
    0.67683E+00    0.17596E+03
    0.69050E+00    0.16825E+03
    0.70445E+00    0.16086E+03
    0.71868E+00    0.15378E+03
    0.73320E+00    0.14700E+03
    0.74801E+00    0.14050E+03
    0.76312E+00    0.13427E+03
    0.77854E+00    0.12831E+03
    0.79426E+00    0.12260E+03
    0.81031E+00    0.11713E+03
    0.82668E+00    0.11190E+03
    0.84338E+00    0.10689E+03
    0.86041E+00    0.10209E+03
    0.87780E+00    0.97505E+02
    0.89553E+00    0.93116E+02
    0.91362E+00    0.88917E+02
    0.93208E+00    0.84901E+02
    0.95091E+00    0.81059E+02
    0.97011E+00    0.77386E+02
    0.98971E+00    0.73873E+02
    0.10097E+01    0.70514E+02
    0.10301E+01    0.67302E+02
    0.10509E+01    0.64232E+02
    0.10721E+01    0.61297E+02
    0.10938E+01    0.58492E+02
    0.11159E+01    0.55811E+02
    0.11384E+01    0.53248E+02
    0.11614E+01    0.50800E+02
    0.11849E+01    0.48461E+02
    0.12088E+01    0.46225E+02
    0.12333E+01    0.44090E+02
    0.12582E+01    0.42050E+02
    0.12836E+01    0.40102E+02
    0.13095E+01    0.38241E+02
    0.13360E+01    0.36464E+02
    0.13630E+01    0.34767E+02
    0.13905E+01    0.33146E+02
    0.14186E+01    0.31598E+02
    0.14472E+01    0.30121E+02
    0.14765E+01    0.28710E+02
    0.15063E+01    0.27363E+02
    0.15367E+01    0.26078E+02
    0.15678E+01    0.24851E+02
    0.15994E+01    0.23680E+02
    0.16318E+01    0.22562E+02
    0.16647E+01    0.21495E+02
    0.16984E+01    0.20478E+02
    0.17327E+01    0.19506E+02
    0.17677E+01    0.18580E+02
    0.18034E+01    0.17696E+02
    0.18398E+01    0.16853E+02
    0.18770E+01    0.16050E+02
    0.19149E+01    0.15284E+02
    0.19536E+01    0.14553E+02
    0.19930E+01    0.13857E+02
    0.20333E+01    0.13194E+02
    0.20744E+01    0.12561E+02
    0.21163E+01    0.11959E+02
    0.21590E+01    0.11385E+02
    0.22026E+01    0.10839E+02
    0.22471E+01    0.10319E+02
    0.22925E+01    0.98230E+01
    0.23388E+01    0.93512E+01
    0.23861E+01    0.89019E+01
