#    L    TT             EE             BB             TE             PP             TP             EP          
   133    0.35947E+04    0.10289E+01    0.00000E+00   -0.39286E+02    0.91932E-07   -0.65073E-06   -0.98381E-06
   134    0.36276E+04    0.10332E+01    0.00000E+00   -0.39693E+02    0.91327E-07    0.40243E-06   -0.98155E-06
   135    0.36605E+04    0.10371E+01    0.00000E+00   -0.40087E+02    0.90727E-07    0.14378E-05   -0.97569E-06
   136    0.36932E+04    0.10405E+01    0.00000E+00   -0.40464E+02    0.90133E-07    0.24545E-05   -0.96657E-06
   137    0.37260E+04    0.10434E+01    0.00000E+00   -0.40826E+02    0.89543E-07    0.34518E-05   -0.95456E-06
   138    0.37587E+04    0.10459E+01    0.00000E+00   -0.41172E+02    0.88960E-07    0.44289E-05   -0.94001E-06
   139    0.37912E+04    0.10481E+01    0.00000E+00   -0.41502E+02    0.88381E-07    0.53848E-05   -0.92328E-06
   140    0.38238E+04    0.10497E+01    0.00000E+00   -0.41815E+02    0.87807E-07    0.63189E-05   -0.90472E-06
   141    0.38562E+04    0.10509E+01    0.00000E+00   -0.42110E+02    0.87239E-07    0.72303E-05   -0.88470E-06
   142    0.38886E+04    0.10516E+01    0.00000E+00   -0.42388E+02    0.86676E-07    0.81182E-05   -0.86357E-06
   143    0.39210E+04    0.10519E+01    0.00000E+00   -0.42648E+02    0.86118E-07    0.89818E-05   -0.84168E-06
   144    0.39532E+04    0.10517E+01    0.00000E+00   -0.42891E+02    0.85564E-07    0.98203E-05   -0.81940E-06
   145    0.39853E+04    0.10512E+01    0.00000E+00   -0.43114E+02    0.85016E-07    0.10633E-04   -0.79708E-06
   146    0.40175E+04    0.10502E+01    0.00000E+00   -0.43319E+02    0.84472E-07    0.11419E-04   -0.77507E-06
   147    0.40494E+04    0.10488E+01    0.00000E+00   -0.43504E+02    0.83934E-07    0.12177E-04   -0.75373E-06
   148    0.40811E+04    0.10468E+01    0.00000E+00   -0.43670E+02    0.83400E-07    0.12906E-04   -0.73342E-06
   149    0.41128E+04    0.10445E+01    0.00000E+00   -0.43816E+02    0.82870E-07    0.13607E-04   -0.71449E-06
   150    0.41443E+04    0.10418E+01    0.00000E+00   -0.43940E+02    0.82346E-07    0.14278E-04   -0.69731E-06
   151    0.41757E+04    0.10387E+01    0.00000E+00   -0.44044E+02    0.81826E-07    0.14918E-04   -0.68213E-06
   152    0.42068E+04    0.10351E+01    0.00000E+00   -0.44127E+02    0.81311E-07    0.15528E-04   -0.66894E-06
   153    0.42378E+04    0.10311E+01    0.00000E+00   -0.44188E+02    0.80800E-07    0.16109E-04   -0.65760E-06
   154    0.42687E+04    0.10268E+01    0.00000E+00   -0.44227E+02    0.80294E-07    0.16663E-04   -0.64801E-06
   155    0.42993E+04    0.10220E+01    0.00000E+00   -0.44245E+02    0.79792E-07    0.17190E-04   -0.64003E-06
   156    0.43297E+04    0.10170E+01    0.00000E+00   -0.44241E+02    0.79295E-07    0.17691E-04   -0.63356E-06
   157    0.43600E+04    0.10115E+01    0.00000E+00   -0.44214E+02    0.78802E-07    0.18167E-04   -0.62848E-06
   158    0.43901E+04    0.10057E+01    0.00000E+00   -0.44165E+02    0.78313E-07    0.18620E-04   -0.62466E-06
