#    L    TT             EE             TE             PP             TP          
   143    0.39210E+04    0.10519E+01   -0.42648E+02    0.39337E+07    0.21293E+03
   144    0.39532E+04    0.10517E+01   -0.42890E+02    0.39084E+07    0.23187E+03
   145    0.39853E+04    0.10512E+01   -0.43114E+02    0.38834E+07    0.25022E+03
   146    0.40175E+04    0.10502E+01   -0.43319E+02    0.38586E+07    0.26798E+03
   147    0.40493E+04    0.10488E+01   -0.43503E+02    0.38340E+07    0.28513E+03
   148    0.40811E+04    0.10468E+01   -0.43670E+02    0.38096E+07    0.30165E+03
   149    0.41128E+04    0.10445E+01   -0.43816E+02    0.37854E+07    0.31755E+03
   150    0.41443E+04    0.10418E+01   -0.43939E+02    0.37615E+07    0.33281E+03
   151    0.41756E+04    0.10387E+01   -0.44044E+02    0.37377E+07    0.34743E+03
   152    0.42067E+04    0.10351E+01   -0.44127E+02    0.37142E+07    0.36141E+03
   153    0.42378E+04    0.10311E+01   -0.44188E+02    0.36909E+07    0.37478E+03
   154    0.42686E+04    0.10268E+01   -0.44227E+02    0.36677E+07    0.38756E+03
   155    0.42993E+04    0.10221E+01   -0.44245E+02    0.36448E+07    0.39976E+03
   156    0.43296E+04    0.10170E+01   -0.44241E+02    0.36221E+07    0.41141E+03
   157    0.43599E+04    0.10115E+01   -0.44214E+02    0.35996E+07    0.42253E+03
   158    0.43900E+04    0.10057E+01   -0.44165E+02    0.35773E+07    0.43313E+03
   159    0.44198E+04    0.99949E+00   -0.44093E+02    0.35552E+07    0.44324E+03
   160    0.44495E+04    0.99293E+00   -0.43996E+02    0.35333E+07    0.45288E+03
   161    0.44789E+04    0.98613E+00   -0.43877E+02    0.35116E+07    0.46206E+03
   162    0.45082E+04    0.97892E+00   -0.43736E+02    0.34901E+07    0.47081E+03
   163    0.45373E+04    0.97139E+00   -0.43570E+02    0.34688E+07    0.47913E+03
   164    0.45660E+04    0.96359E+00   -0.43381E+02    0.34476E+07    0.48707E+03
   165    0.45947E+04    0.95546E+00   -0.43167E+02    0.34267E+07    0.49462E+03
   166    0.46231E+04    0.94712E+00   -0.42930E+02    0.34060E+07    0.50182E+03
   167    0.46513E+04    0.93837E+00   -0.42669E+02    0.33854E+07    0.50868E+03
   168    0.46791E+04    0.92956E+00   -0.42384E+02    0.33650E+07    0.51523E+03
   169    0.47067E+04    0.92039E+00   -0.42073E+02    0.33448E+07    0.52147E+03
   170    0.47340E+04    0.91109E+00   -0.41738E+02    0.33248E+07    0.52744E+03
   171    0.47609E+04    0.90164E+00   -0.41378E+02    0.33049E+07    0.53315E+03
   172    0.47875E+04    0.89197E+00   -0.40993E+02    0.32853E+07    0.53862E+03
   173    0.48138E+04    0.88208E+00   -0.40583E+02    0.32658E+07    0.54387E+03
   174    0.48397E+04    0.87225E+00   -0.40148E+02    0.32465E+07    0.54892E+03
