#    L    TT             EE             BB             TE          
   238    0.55240E+04    0.12395E+01    0.18733E-01    0.32915E+02
   239    0.55168E+04    0.12820E+01    0.18901E-01    0.34500E+02
   240    0.55089E+04    0.13263E+01    0.19069E-01    0.36086E+02
   241    0.55006E+04    0.13725E+01    0.19238E-01    0.37674E+02
   242    0.54917E+04    0.14203E+01    0.19406E-01    0.39263E+02
   243    0.54822E+04    0.14700E+01    0.19575E-01    0.40852E+02
   244    0.54721E+04    0.15215E+01    0.19744E-01    0.42443E+02
   245    0.54614E+04    0.15749E+01    0.19913E-01    0.44031E+02
   246    0.54502E+04    0.16301E+01    0.20083E-01    0.45618E+02
   247    0.54385E+04    0.16871E+01    0.20252E-01    0.47203E+02
   248    0.54262E+04    0.17462E+01    0.20421E-01    0.48786E+02
   249    0.54134E+04    0.18070E+01    0.20591E-01    0.50366E+02
   250    0.54001E+04    0.18699E+01    0.20760E-01    0.51941E+02
   251    0.53863E+04    0.19345E+01    0.20930E-01    0.53512E+02
   252    0.53718E+04    0.20011E+01    0.21099E-01    0.55079E+02
   253    0.53570E+04    0.20696E+01    0.21269E-01    0.56639E+02
   254    0.53416E+04    0.21401E+01    0.21438E-01    0.58192E+02
   255    0.53257E+04    0.22124E+01    0.21608E-01    0.59739E+02
   256    0.53094E+04    0.22870E+01    0.21777E-01    0.61279E+02
   257    0.52925E+04    0.23633E+01    0.21946E-01    0.62804E+02
   258    0.52752E+04    0.24418E+01    0.22115E-01    0.64328E+02
   259    0.52574E+04    0.25223E+01    0.22284E-01    0.65834E+02
   260    0.52392E+04    0.26048E+01    0.22452E-01    0.67338E+02
   261    0.52204E+04    0.26892E+01    0.22621E-01    0.68818E+02
   262    0.52012E+04    0.27759E+01    0.22789E-01    0.70296E+02
   263    0.51817E+04    0.28645E+01    0.22957E-01    0.71764E+02
   264    0.51617E+04    0.29552E+01    0.23125E-01    0.73215E+02
   265    0.51411E+04    0.30479E+01    0.23292E-01    0.74642E+02
   266    0.51201E+04    0.31428E+01    0.23459E-01    0.76066E+02
   267    0.50987E+04    0.32397E+01    0.23626E-01    0.77467E+02
   268    0.50768E+04    0.33387E+01    0.23792E-01    0.78858E+02
   269    0.50544E+04    0.34398E+01    0.23959E-01    0.80231E+02
   270    0.50317E+04    0.35429E+01    0.24124E-01    0.81588E+02
   271    0.50086E+04    0.36479E+01    0.24290E-01    0.82928E+02
   272    0.49852E+04    0.37553E+01    0.24455E-01    0.84244E+02
   273    0.49614E+04    0.38644E+01    0.24619E-01    0.85550E+02
   274    0.49372E+04    0.39759E+01    0.24784E-01    0.86824E+02
   275    0.49125E+04    0.40891E+01    0.24947E-01    0.88089E+02
   276    0.48877E+04    0.42044E+01    0.25111E-01    0.89322E+02
   277    0.48623E+04    0.43218E+01    0.25274E-01    0.90545E+02
   278    0.48367E+04    0.44411E+01    0.25436E-01    0.91737E+02
   279    0.48108E+04    0.45624E+01    0.25598E-01    0.92904E+02
   280    0.47845E+04    0.46856E+01    0.25760E-01    0.94062E+02
   281    0.47580E+04    0.48109E+01    0.25921E-01    0.95187E+02
   282    0.47310E+04    0.49378E+01    0.26081E-01    0.96289E+02
   283    0.47039E+04    0.50668E+01    0.26241E-01    0.97366E+02
   284    0.46764E+04    0.51977E+01    0.26400E-01    0.98419E+02
   285    0.46487E+04    0.53305E+01    0.26559E-01    0.99448E+02
   286    0.46207E+04    0.54651E+01    0.26718E-01    0.10044E+03
   287    0.45923E+04    0.56015E+01    0.26875E-01    0.10142E+03
   288    0.45638E+04    0.57397E+01    0.27033E-01    0.10237E+03
   289    0.45350E+04    0.58796E+01    0.27189E-01    0.10330E+03
   290    0.45060E+04    0.60212E+01    0.27345E-01    0.10420E+03
   291    0.44767E+04    0.61651E+01    0.27501E-01    0.10506E+03
   292    0.44470E+04    0.63103E+01    0.27655E-01    0.10590E+03
   293    0.44174E+04    0.64564E+01    0.27810E-01    0.10670E+03
   294    0.43874E+04    0.66048E+01    0.27963E-01    0.10749E+03
   295    0.43574E+04    0.67542E+01    0.28116E-01    0.10824E+03
   296    0.43270E+04    0.69060E+01    0.28268E-01    0.10896E+03
   297    0.42965E+04    0.70581E+01    0.28420E-01    0.10966E+03
   298    0.42657E+04    0.72125E+01    0.28571E-01    0.11032E+03
   299    0.42349E+04    0.73687E+01    0.28721E-01    0.11095E+03
   300    0.42038E+04    0.75251E+01    0.28870E-01    0.11155E+03
   301    0.41726E+04    0.76832E+01    0.29019E-01    0.11212E+03
   302    0.41413E+04    0.78423E+01    0.29167E-01    0.11267E+03
   303    0.41099E+04    0.80032E+01    0.29314E-01    0.11318E+03
   304    0.40783E+04    0.81659E+01    0.29461E-01    0.11365E+03
   305    0.40466E+04    0.83288E+01    0.29607E-01    0.11410E+03
   306    0.40148E+04    0.84928E+01    0.29752E-01    0.11451E+03
   307    0.39830E+04    0.86578E+01    0.29896E-01    0.11488E+03
   308    0.39510E+04    0.88254E+01    0.30040E-01    0.11523E+03
   309    0.39191E+04    0.89926E+01    0.30183E-01    0.11554E+03
   310    0.38870E+04    0.91601E+01    0.30325E-01    0.11582E+03
   311    0.38549E+04    0.93303E+01    0.30466E-01    0.11606E+03
   312    0.38228E+04    0.95000E+01    0.30606E-01    0.11628E+03
   313    0.37906E+04    0.96709E+01    0.30746E-01    0.11645E+03
   314    0.37584E+04    0.98429E+01    0.30885E-01    0.11660E+03
   315    0.37262E+04    0.10015E+02    0.31023E-01    0.11670E+03
   316    0.36941E+04    0.10187E+02    0.31160E-01    0.11677E+03
   317    0.36619E+04    0.10360E+02    0.31296E-01    0.11681E+03
   318    0.36297E+04    0.10534E+02    0.31432E-01    0.11681E+03
   319    0.35976E+04    0.10708E+02    0.31567E-01    0.11678E+03
   320    0.35656E+04    0.10883E+02    0.31701E-01    0.11673E+03
   321    0.35335E+04    0.11059E+02    0.31834E-01    0.11663E+03
   322    0.35015E+04    0.11234E+02    0.31966E-01    0.11649E+03
   323    0.34696E+04    0.11409E+02    0.32098E-01    0.11632E+03
   324    0.34378E+04    0.11585E+02    0.32228E-01    0.11611E+03
   325    0.34061E+04    0.11760E+02    0.32358E-01    0.11587E+03
   326    0.33744E+04    0.11936E+02    0.32487E-01    0.11559E+03
   327    0.33429E+04    0.12112E+02    0.32615E-01    0.11528E+03
   328    0.33115E+04    0.12287E+02    0.32743E-01    0.11494E+03
   329    0.32802E+04    0.12462E+02    0.32869E-01    0.11455E+03
   330    0.32490E+04    0.12637E+02    0.32995E-01    0.11413E+03
   331    0.32180E+04    0.12811E+02    0.33120E-01    0.11368E+03
   332    0.31871E+04    0.12986E+02    0.33244E-01    0.11321E+03
   333    0.31563E+04    0.13160E+02    0.33368E-01    0.11269E+03
   334    0.31258E+04    0.13334E+02    0.33491E-01    0.11214E+03
   335    0.30953E+04    0.13507E+02    0.33613E-01    0.11155E+03
   336    0.30650E+04    0.13679E+02    0.33734E-01    0.11094E+03
   337    0.30350E+04    0.13852E+02    0.33854E-01    0.11027E+03
   338    0.30051E+04    0.14022E+02    0.33974E-01    0.10959E+03
   339    0.29754E+04    0.14194E+02    0.34093E-01    0.10887E+03
   340    0.29460E+04    0.14364E+02    0.34212E-01    0.10812E+03
   341    0.29166E+04    0.14532E+02    0.34330E-01    0.10733E+03
   342    0.28876E+04    0.14701E+02    0.34447E-01    0.10651E+03
   343    0.28587E+04    0.14868E+02    0.34564E-01    0.10566E+03
   344    0.28302E+04    0.15034E+02    0.34680E-01    0.10477E+03
   345    0.28017E+04    0.15199E+02    0.34795E-01    0.10386E+03
   346    0.27736E+04    0.15364E+02    0.34910E-01    0.10292E+03
   347    0.27457E+04    0.15526E+02    0.35024E-01    0.10195E+03
   348    0.27180E+04    0.15687E+02    0.35138E-01    0.10094E+03
   349    0.26906E+04    0.15847E+02    0.35251E-01    0.99899E+02
   350    0.26635E+04    0.16006E+02    0.35364E-01    0.98835E+02
   351    0.26368E+04    0.16163E+02    0.35476E-01    0.97739E+02
   352    0.26101E+04    0.16319E+02    0.35588E-01    0.96611E+02
   353    0.25838E+04    0.16473E+02    0.35699E-01    0.95466E+02
   354    0.25577E+04    0.16626E+02    0.35810E-01    0.94280E+02
   355    0.25320E+04    0.16777E+02    0.35920E-01    0.93070E+02
   356    0.25066E+04    0.16927E+02    0.36030E-01    0.91842E+02
   357    0.24815E+04    0.17074E+02    0.36140E-01    0.90581E+02
   358    0.24567E+04    0.17219E+02    0.36249E-01    0.89302E+02
   359    0.24322E+04    0.17362E+02    0.36358E-01    0.87990E+02
   360    0.24080E+04    0.17503E+02    0.36467E-01    0.86656E+02
   361    0.23842E+04    0.17643E+02    0.36575E-01    0.85295E+02
   362    0.23607E+04    0.17780E+02    0.36684E-01    0.83911E+02
   363    0.23375E+04    0.17916E+02    0.36791E-01    0.82505E+02
   364    0.23147E+04    0.18048E+02    0.36899E-01    0.81073E+02
   365    0.22922E+04    0.18178E+02    0.37007E-01    0.79622E+02
   366    0.22701E+04    0.18306E+02    0.37114E-01    0.78147E+02
