#    L    TT             EE             TE             PP             TP          
   243    0.54941E+04    0.14291E+01    0.40879E+02    0.22733E+07    0.42768E+03
   244    0.54841E+04    0.14801E+01    0.42481E+02    0.22625E+07    0.42571E+03
   245    0.54735E+04    0.15331E+01    0.44080E+02    0.22517E+07    0.42370E+03
   246    0.54624E+04    0.15879E+01    0.45680E+02    0.22410E+07    0.42166E+03
   247    0.54508E+04    0.16445E+01    0.47278E+02    0.22304E+07    0.41959E+03
   248    0.54386E+04    0.17032E+01    0.48873E+02    0.22198E+07    0.41748E+03
   249    0.54259E+04    0.17636E+01    0.50465E+02    0.22094E+07    0.41534E+03
   250    0.54126E+04    0.18261E+01    0.52053E+02    0.21990E+07    0.41316E+03
   251    0.53989E+04    0.18904E+01    0.53638E+02    0.21887E+07    0.41096E+03
   252    0.53845E+04    0.19567E+01    0.55218E+02    0.21785E+07    0.40873E+03
   253    0.53698E+04    0.20248E+01    0.56791E+02    0.21683E+07    0.40648E+03
   254    0.53545E+04    0.20950E+01    0.58358E+02    0.21582E+07    0.40419E+03
   255    0.53386E+04    0.21671E+01    0.59919E+02    0.21482E+07    0.40188E+03
   256    0.53223E+04    0.22413E+01    0.61473E+02    0.21382E+07    0.39954E+03
   257    0.53055E+04    0.23174E+01    0.63013E+02    0.21284E+07    0.39718E+03
   258    0.52882E+04    0.23956E+01    0.64551E+02    0.21186E+07    0.39479E+03
   259    0.52704E+04    0.24759E+01    0.66072E+02    0.21088E+07    0.39237E+03
   260    0.52523E+04    0.25582E+01    0.67591E+02    0.20992E+07    0.38993E+03
   261    0.52336E+04    0.26424E+01    0.69086E+02    0.20896E+07    0.38747E+03
   262    0.52143E+04    0.27289E+01    0.70579E+02    0.20800E+07    0.38499E+03
   263    0.51949E+04    0.28174E+01    0.72062E+02    0.20706E+07    0.38248E+03
   264    0.51748E+04    0.29080E+01    0.73529E+02    0.20612E+07    0.37995E+03
   265    0.51542E+04    0.30006E+01    0.74972E+02    0.20519E+07    0.37739E+03
   266    0.51333E+04    0.30954E+01    0.76412E+02    0.20426E+07    0.37482E+03
   267    0.51119E+04    0.31922E+01    0.77828E+02    0.20334E+07    0.37222E+03
   268    0.50900E+04    0.32912E+01    0.79235E+02    0.20243E+07    0.36961E+03
   269    0.50676E+04    0.33923E+01    0.80625E+02    0.20152E+07    0.36697E+03
   270    0.50449E+04    0.34954E+01    0.81998E+02    0.20062E+07    0.36431E+03
   271    0.50217E+04    0.36005E+01    0.83354E+02    0.19973E+07    0.36164E+03
   272    0.49983E+04    0.37079E+01    0.84686E+02    0.19884E+07    0.35895E+03
   273    0.49744E+04    0.38171E+01    0.86009E+02    0.19796E+07    0.35624E+03
   274    0.49501E+04    0.39287E+01    0.87300E+02    0.19708E+07    0.35351E+03
   275    0.49255E+04    0.40421E+01    0.88581E+02    0.19621E+07    0.35077E+03
   276    0.49006E+04    0.41576E+01    0.89831E+02    0.19535E+07    0.34801E+03
   277    0.48752E+04    0.42751E+01    0.91071E+02    0.19449E+07    0.34523E+03
   278    0.48495E+04    0.43947E+01    0.92279E+02    0.19364E+07    0.34244E+03
   279    0.48235E+04    0.45162E+01    0.93464E+02    0.19280E+07    0.33963E+03
   280    0.47971E+04    0.46397E+01    0.94638E+02    0.19196E+07    0.33681E+03
   281    0.47705E+04    0.47653E+01    0.95781E+02    0.19112E+07    0.33397E+03
   282    0.47435E+04    0.48927E+01    0.96900E+02    0.19029E+07    0.33113E+03
