#    L    TT             EE             BB             TE          
   231    0.70372E+01    0.14719E-01    0.11837E-01   -0.66774E-02
   232    0.70182E+01    0.14708E-01    0.11886E-01   -0.12627E-01
   233    0.69960E+01    0.14708E-01    0.11937E-01   -0.18525E-01
   234    0.69709E+01    0.14719E-01    0.11989E-01   -0.24359E-01
   235    0.69427E+01    0.14740E-01    0.12041E-01   -0.30117E-01
   236    0.69116E+01    0.14771E-01    0.12094E-01   -0.35789E-01
   237    0.68774E+01    0.14812E-01    0.12147E-01   -0.41363E-01
   238    0.68404E+01    0.14862E-01    0.12199E-01   -0.46827E-01
   239    0.68004E+01    0.14921E-01    0.12252E-01   -0.52171E-01
   240    0.67575E+01    0.14988E-01    0.12303E-01   -0.57381E-01
   241    0.67118E+01    0.15064E-01    0.12354E-01   -0.62448E-01
   242    0.66632E+01    0.15148E-01    0.12404E-01   -0.67359E-01
   243    0.66119E+01    0.15239E-01    0.12452E-01   -0.72103E-01
   244    0.65577E+01    0.15337E-01    0.12499E-01   -0.76669E-01
   245    0.65008E+01    0.15442E-01    0.12543E-01   -0.81045E-01
   246    0.64412E+01    0.15554E-01    0.12586E-01   -0.85219E-01
   247    0.63788E+01    0.15671E-01    0.12626E-01   -0.89181E-01
   248    0.63138E+01    0.15794E-01    0.12664E-01   -0.92918E-01
   249    0.62461E+01    0.15923E-01    0.12699E-01   -0.96420E-01
   250    0.61759E+01    0.16057E-01    0.12731E-01   -0.99674E-01
   251    0.61030E+01    0.16195E-01    0.12759E-01   -0.10267E+00
   252    0.60276E+01    0.16337E-01    0.12784E-01   -0.10542E+00
   253    0.59499E+01    0.16484E-01    0.12806E-01   -0.10791E+00
   254    0.58699E+01    0.16634E-01    0.12824E-01   -0.11017E+00
   255    0.57879E+01    0.16788E-01    0.12840E-01   -0.11219E+00
   256    0.57038E+01    0.16945E-01    0.12852E-01   -0.11397E+00
   257    0.56178E+01    0.17104E-01    0.12861E-01   -0.11553E+00
   258    0.55300E+01    0.17266E-01    0.12867E-01   -0.11686E+00
   259    0.54406E+01    0.17430E-01    0.12870E-01   -0.11798E+00
   260    0.53497E+01    0.17596E-01    0.12870E-01   -0.11889E+00
   261    0.52573E+01    0.17763E-01    0.12868E-01   -0.11959E+00
   262    0.51636E+01    0.17932E-01    0.12862E-01   -0.12009E+00
   263    0.50688E+01    0.18102E-01    0.12853E-01   -0.12039E+00
   264    0.49729E+01    0.18272E-01    0.12842E-01   -0.12050E+00
   265    0.48760E+01    0.18442E-01    0.12828E-01   -0.12043E+00
   266    0.47783E+01    0.18613E-01    0.12811E-01   -0.12018E+00
   267    0.46799E+01    0.18783E-01    0.12791E-01   -0.11975E+00
   268    0.45809E+01    0.18952E-01    0.12769E-01   -0.11916E+00
   269    0.44814E+01    0.19120E-01    0.12744E-01   -0.11840E+00
   270    0.43816E+01    0.19288E-01    0.12717E-01   -0.11748E+00
   271    0.42816E+01    0.19453E-01    0.12687E-01   -0.11641E+00
   272    0.41814E+01    0.19617E-01    0.12655E-01   -0.11519E+00
   273    0.40812E+01    0.19778E-01    0.12620E-01   -0.11383E+00
   274    0.39811E+01    0.19937E-01    0.12583E-01   -0.11232E+00
   275    0.38813E+01    0.20093E-01    0.12544E-01   -0.11069E+00
