#    L    TT             EE             BB             TE             PP             TP             EP          
   193    0.53543E+04    0.65700E+00    0.00000E+00   -0.22224E+02    0.53719E-07    0.14630E-03   -0.44425E-06
   194    0.53702E+04    0.65175E+00    0.00000E+00   -0.21150E+02    0.53427E-07    0.14509E-03   -0.42897E-06
   195    0.53855E+04    0.64709E+00    0.00000E+00   -0.20054E+02    0.53138E-07    0.14389E-03   -0.41355E-06
   196    0.54001E+04    0.64305E+00    0.00000E+00   -0.18934E+02    0.52851E-07    0.14270E-03   -0.39805E-06
   197    0.54144E+04    0.63968E+00    0.00000E+00   -0.17793E+02    0.52566E-07    0.14152E-03   -0.38247E-06
   198    0.54281E+04    0.63700E+00    0.00000E+00   -0.16629E+02    0.52284E-07    0.14035E-03   -0.36687E-06
   199    0.54414E+04    0.63504E+00    0.00000E+00   -0.15443E+02    0.52004E-07    0.13920E-03   -0.35127E-06
   200    0.54541E+04    0.63384E+00    0.00000E+00   -0.14236E+02    0.51727E-07    0.13805E-03   -0.33571E-06
   201    0.54662E+04    0.63344E+00    0.00000E+00   -0.13007E+02    0.51451E-07    0.13691E-03   -0.32021E-06
   202    0.54778E+04    0.63387E+00    0.00000E+00   -0.11758E+02    0.51178E-07    0.13577E-03   -0.30478E-06
   203    0.54889E+04    0.63517E+00    0.00000E+00   -0.10487E+02    0.50908E-07    0.13465E-03   -0.28942E-06
   204    0.54993E+04    0.63737E+00    0.00000E+00   -0.91982E+01    0.50639E-07    0.13353E-03   -0.27413E-06
   205    0.55092E+04    0.64051E+00    0.00000E+00   -0.78890E+01    0.50373E-07    0.13243E-03   -0.25890E-06
   206    0.55184E+04    0.64463E+00    0.00000E+00   -0.65606E+01    0.50109E-07    0.13133E-03   -0.24375E-06
   207    0.55271E+04    0.64975E+00    0.00000E+00   -0.52134E+01    0.49847E-07    0.13024E-03   -0.22866E-06
   208    0.55351E+04    0.65592E+00    0.00000E+00   -0.38479E+01    0.49587E-07    0.12915E-03   -0.21365E-06
   209    0.55425E+04    0.66316E+00    0.00000E+00   -0.24645E+01    0.49329E-07    0.12808E-03   -0.19870E-06
   210    0.55493E+04    0.67152E+00    0.00000E+00   -0.10640E+01    0.49074E-07    0.12701E-03   -0.18382E-06
   211    0.55555E+04    0.68104E+00    0.00000E+00    0.35350E+00    0.48820E-07    0.12596E-03   -0.16901E-06
   212    0.55610E+04    0.69173E+00    0.00000E+00    0.17871E+01    0.48569E-07    0.12491E-03   -0.15427E-06
   213    0.55659E+04    0.70366E+00    0.00000E+00    0.32368E+01    0.48319E-07    0.12386E-03   -0.13960E-06
   214    0.55703E+04    0.71679E+00    0.00000E+00    0.47015E+01    0.48072E-07    0.12283E-03   -0.12500E-06
   215    0.55740E+04    0.73134E+00    0.00000E+00    0.61804E+01    0.47827E-07    0.12180E-03   -0.11047E-06
   216    0.55770E+04    0.74711E+00    0.00000E+00    0.76741E+01    0.47583E-07    0.12078E-03   -0.96010E-07
   217    0.55796E+04    0.76425E+00    0.00000E+00    0.91805E+01    0.47342E-07    0.11977E-03   -0.81618E-07
   218    0.55815E+04    0.78278E+00    0.00000E+00    0.10700E+02    0.47103E-07    0.11877E-03   -0.67296E-07
   219    0.55828E+04    0.80267E+00    0.00000E+00    0.12233E+02    0.46865E-07    0.11777E-03   -0.53044E-07
   220    0.55835E+04    0.82409E+00    0.00000E+00    0.13776E+02    0.46630E-07    0.11679E-03   -0.38861E-07
   221    0.55836E+04    0.84696E+00    0.00000E+00    0.15331E+02    0.46396E-07    0.11581E-03   -0.24748E-07
   222    0.55832E+04    0.87143E+00    0.00000E+00    0.16896E+02    0.46164E-07    0.11483E-03   -0.10705E-07
   223    0.55820E+04    0.89741E+00    0.00000E+00    0.18473E+02    0.45934E-07    0.11387E-03    0.32680E-08
   224    0.55803E+04    0.92491E+00    0.00000E+00    0.20056E+02    0.45706E-07    0.11291E-03    0.17171E-07
   225    0.55780E+04    0.95408E+00    0.00000E+00    0.21650E+02    0.45480E-07    0.11196E-03    0.31004E-07
   226    0.55752E+04    0.98492E+00    0.00000E+00    0.23251E+02    0.45255E-07    0.11102E-03    0.44768E-07
   227    0.55716E+04    0.10174E+01    0.00000E+00    0.24860E+02    0.45033E-07    0.11008E-03    0.58461E-07
   228    0.55675E+04    0.10516E+01    0.00000E+00    0.26476E+02    0.44812E-07    0.10915E-03    0.72084E-07
   229    0.55629E+04    0.10875E+01    0.00000E+00    0.28096E+02    0.44592E-07    0.10823E-03    0.85637E-07
