#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    69    0.17434E+04   -0.45432E+01   -0.38140E-05   -0.45432E+01    0.27725E+00   -0.66410E-08   -0.38140E-05   -0.66410E-08    0.29465E-10
    70    0.17661E+04   -0.49308E+01   -0.35893E-05   -0.49308E+01    0.28882E+00   -0.64482E-08   -0.35893E-05   -0.64482E-08    0.28432E-10
    71    0.17891E+04   -0.53297E+01   -0.33823E-05   -0.53297E+01    0.30062E+00   -0.67778E-08   -0.33823E-05   -0.67778E-08    0.27446E-10
    72    0.18122E+04   -0.57413E+01   -0.31911E-05   -0.57413E+01    0.31262E+00   -0.75001E-08   -0.31911E-05   -0.75001E-08    0.26505E-10
    73    0.18354E+04   -0.61659E+01   -0.30126E-05   -0.61659E+01    0.32480E+00   -0.84211E-08   -0.30126E-05   -0.84211E-08    0.25605E-10
    74    0.18588E+04   -0.66026E+01   -0.28439E-05   -0.66026E+01    0.33714E+00   -0.93466E-08   -0.28439E-05   -0.93466E-08    0.24744E-10
    75    0.18826E+04   -0.70497E+01   -0.26822E-05   -0.70497E+01    0.34966E+00   -0.10082E-07   -0.26822E-05   -0.10082E-07    0.23921E-10
    76    0.19066E+04   -0.75065E+01   -0.25251E-05   -0.75065E+01    0.36236E+00   -0.10475E-07   -0.25251E-05   -0.10475E-07    0.23133E-10
    77    0.19310E+04   -0.79731E+01   -0.23731E-05   -0.79731E+01    0.37524E+00   -0.10534E-07   -0.23731E-05   -0.10534E-07    0.22378E-10
    78    0.19556E+04   -0.84512E+01   -0.22273E-05   -0.84512E+01    0.38833E+00   -0.10310E-07   -0.22273E-05   -0.10310E-07    0.21655E-10
    79    0.19805E+04   -0.89374E+01   -0.20887E-05   -0.89374E+01    0.40156E+00   -0.98531E-08   -0.20887E-05   -0.98531E-08    0.20962E-10
    80    0.20056E+04   -0.94333E+01   -0.19587E-05   -0.94333E+01    0.41495E+00   -0.92137E-08   -0.19587E-05   -0.92137E-08    0.20297E-10
    81    0.20309E+04   -0.99397E+01   -0.18378E-05   -0.99397E+01    0.42845E+00   -0.84509E-08   -0.18378E-05   -0.84509E-08    0.19660E-10
    82    0.20563E+04   -0.10456E+02   -0.17256E-05   -0.10456E+02    0.44208E+00   -0.76589E-08   -0.17256E-05   -0.76589E-08    0.19048E-10
    83    0.20820E+04   -0.10981E+02   -0.16211E-05   -0.10981E+02    0.45580E+00   -0.69404E-08   -0.16211E-05   -0.69404E-08    0.18460E-10
    84    0.21079E+04   -0.11513E+02   -0.15236E-05   -0.11513E+02    0.46963E+00   -0.63983E-08   -0.15236E-05   -0.63983E-08    0.17896E-10
    85    0.21339E+04   -0.12053E+02   -0.14320E-05   -0.12053E+02    0.48353E+00   -0.61355E-08   -0.14320E-05   -0.61355E-08    0.17354E-10
    86    0.21601E+04   -0.12601E+02   -0.13457E-05   -0.12601E+02    0.49752E+00   -0.62203E-08   -0.13457E-05   -0.62203E-08    0.16833E-10
    87    0.21868E+04   -0.13155E+02   -0.12640E-05   -0.13155E+02    0.51157E+00   -0.65825E-08   -0.12640E-05   -0.65825E-08    0.16332E-10
    88    0.22134E+04   -0.13716E+02   -0.11865E-05   -0.13716E+02    0.52569E+00   -0.71177E-08   -0.11865E-05   -0.71177E-08    0.15851E-10
    89    0.22404E+04   -0.14284E+02   -0.11129E-05   -0.14284E+02    0.53988E+00   -0.77212E-08   -0.11129E-05   -0.77212E-08    0.15387E-10
    90    0.22675E+04   -0.14858E+02   -0.10427E-05   -0.14858E+02    0.55411E+00   -0.82885E-08   -0.10427E-05   -0.82885E-08    0.14940E-10
    91    0.22948E+04   -0.15437E+02   -0.97554E-06   -0.15437E+02    0.56836E+00   -0.87342E-08   -0.97554E-06   -0.87342E-08    0.14509E-10
    92    0.23224E+04   -0.16022E+02   -0.91127E-06   -0.16022E+02    0.58262E+00   -0.90497E-08   -0.91127E-06   -0.90497E-08    0.14093E-10
    93    0.23502E+04   -0.16612E+02   -0.84982E-06   -0.16612E+02    0.59689E+00   -0.92455E-08   -0.84982E-06   -0.92455E-08    0.13691E-10
    94    0.23781E+04   -0.17205E+02   -0.79111E-06   -0.17205E+02    0.61113E+00   -0.93322E-08   -0.79111E-06   -0.93322E-08    0.13305E-10
    95    0.24063E+04   -0.17804E+02   -0.73506E-06   -0.17804E+02    0.62535E+00   -0.93204E-08   -0.73506E-06   -0.93204E-08    0.12932E-10
    96    0.24344E+04   -0.18407E+02   -0.68161E-06   -0.18407E+02    0.63953E+00   -0.92207E-08   -0.68161E-06   -0.92207E-08    0.12572E-10
    97    0.24630E+04   -0.19013E+02   -0.63066E-06   -0.19013E+02    0.65366E+00   -0.90437E-08   -0.63066E-06   -0.90437E-08    0.12226E-10
    98    0.24918E+04   -0.19620E+02   -0.58215E-06   -0.19620E+02    0.66773E+00   -0.87999E-08   -0.58215E-06   -0.87999E-08    0.11891E-10
    99    0.25207E+04   -0.20232E+02   -0.53600E-06   -0.20232E+02    0.68170E+00   -0.84999E-08   -0.53600E-06   -0.84999E-08    0.11569E-10
   100    0.25499E+04   -0.20844E+02   -0.49212E-06   -0.20844E+02    0.69559E+00   -0.81542E-08   -0.49212E-06   -0.81542E-08    0.11259E-10
   101    0.25792E+04   -0.21460E+02   -0.45045E-06   -0.21460E+02    0.70944E+00   -0.77736E-08   -0.45045E-06   -0.77736E-08    0.10959E-10
   102    0.26090E+04   -0.22076E+02   -0.41091E-06   -0.22076E+02    0.72312E+00   -0.73685E-08   -0.41091E-06   -0.73685E-08    0.10671E-10
   103    0.26387E+04   -0.22694E+02   -0.37341E-06   -0.22694E+02    0.73669E+00   -0.69495E-08   -0.37341E-06   -0.69495E-08    0.10392E-10
   104    0.26687E+04   -0.23311E+02   -0.33788E-06   -0.23311E+02    0.75017E+00   -0.65272E-08   -0.33788E-06   -0.65272E-08    0.10123E-10
   105    0.26988E+04   -0.23929E+02   -0.30425E-06   -0.23929E+02    0.76347E+00   -0.61121E-08   -0.30425E-06   -0.61121E-08    0.98634E-11
   106    0.27291E+04   -0.24546E+02   -0.27243E-06   -0.24546E+02    0.77667E+00   -0.57150E-08   -0.27243E-06   -0.57150E-08    0.96125E-11
   107    0.27594E+04   -0.25163E+02   -0.24235E-06   -0.25163E+02    0.78964E+00   -0.53462E-08   -0.24235E-06   -0.53462E-08    0.93699E-11
