#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.507726E-02   0.203274E+08   0.203208E+08  -0.586132E+03   0.963056E+05   0.000000E+00   0.203263E+08   0.203263E+08   0.203263E+08  -0.527612E+00   0.112278E+08   0.112271E+08   0.456978E+02
   0.560792E-02   0.200217E+08   0.200145E+08  -0.647077E+03   0.779685E+05   0.000000E+00   0.200205E+08   0.200205E+08   0.200205E+08  -0.519525E+00   0.110607E+08   0.110600E+08   0.411513E+02
   0.619406E-02   0.196829E+08   0.196750E+08  -0.359056E+04   0.629643E+05   0.000000E+00   0.196816E+08   0.196816E+08   0.196816E+08  -0.510594E+00   0.108749E+08   0.108742E+08   0.369471E+02
   0.684145E-02   0.193100E+08   0.193011E+08  -0.322928E+04   0.507189E+05   0.000000E+00   0.193085E+08   0.193085E+08   0.193085E+08  -0.500793E+00   0.106698E+08   0.106691E+08   0.332158E+02
   0.755651E-02   0.189016E+08   0.188917E+08  -0.260394E+04   0.407487E+05   0.000000E+00   0.188999E+08   0.188999E+08   0.188999E+08  -0.490091E+00   0.104449E+08   0.104442E+08   0.299115E+02
   0.834630E-02   0.184566E+08   0.184454E+08  -0.726055E+03   0.326491E+05   0.000000E+00   0.184547E+08   0.184547E+08   0.184547E+08  -0.478456E+00   0.101995E+08   0.101988E+08   0.269126E+02
   0.921865E-02   0.179736E+08   0.179610E+08  -0.203900E+04   0.260835E+05   0.000000E+00   0.179715E+08   0.179715E+08   0.179715E+08  -0.465854E+00   0.993294E+07   0.993227E+07   0.242465E+02
   0.101822E-01   0.174514E+08   0.174371E+08  -0.741076E+03   0.207729E+05   0.000000E+00   0.174490E+08   0.174490E+08   0.174490E+08  -0.452247E+00   0.964456E+07   0.964390E+07   0.218686E+02
   0.112464E-01   0.168887E+08   0.168723E+08  -0.158790E+04   0.164868E+05   0.000000E+00   0.168860E+08   0.168860E+08   0.168860E+08  -0.437603E+00   0.933365E+07   0.933298E+07   0.197478E+02
   0.124219E-01   0.162843E+08   0.162655E+08  -0.118246E+04   0.130358E+05   0.000000E+00   0.162812E+08   0.162812E+08   0.162812E+08  -0.421887E+00   0.899958E+07   0.899891E+07   0.178616E+02
   0.137202E-01   0.156372E+08   0.156157E+08  -0.971954E+03   0.102640E+05   0.000000E+00   0.156336E+08   0.156336E+08   0.156336E+08  -0.405074E+00   0.864183E+07   0.864117E+07   0.161819E+02
   0.151542E-01   0.149470E+08   0.149224E+08  -0.338760E+03   0.804385E+04   0.000000E+00   0.149428E+08   0.149428E+08   0.149428E+08  -0.387150E+00   0.826014E+07   0.825947E+07   0.146821E+02
   0.167381E-01   0.142362E+08   0.142082E+08  -0.694355E+03   0.628107E+04   0.000000E+00   0.142315E+08   0.142315E+08   0.142315E+08  -0.368699E+00   0.786704E+07   0.786637E+07   0.133521E+02
   0.184875E-01   0.134649E+08   0.134333E+08  -0.614491E+03   0.487022E+04   0.000000E+00   0.134596E+08   0.134596E+08   0.134596E+08  -0.348684E+00   0.744042E+07   0.743975E+07   0.121364E+02
   0.204198E-01   0.126555E+08   0.126200E+08  -0.392099E+03   0.375241E+04   0.000000E+00   0.126495E+08   0.126495E+08   0.126495E+08  -0.327686E+00   0.699270E+07   0.699203E+07   0.110225E+02
   0.225541E-01   0.117976E+08   0.117583E+08  -0.299719E+03   0.286743E+04   0.000000E+00   0.117910E+08   0.117910E+08   0.117910E+08  -0.305437E+00   0.651817E+07   0.651750E+07   0.997654E+01
   0.249114E-01   0.109296E+08   0.108867E+08  -0.194021E+03   0.217749E+04   0.000000E+00   0.109224E+08   0.109224E+08   0.109224E+08  -0.282929E+00   0.603804E+07   0.603737E+07   0.898643E+01
   0.275151E-01   0.100600E+08   0.100140E+08  -0.218944E+03   0.164282E+04   0.000000E+00   0.100523E+08   0.100523E+08   0.100523E+08  -0.260383E+00   0.555704E+07   0.555638E+07   0.802598E+01
   0.303909E-01   0.918866E+07   0.914055E+07  -0.146942E+03   0.122992E+04   0.000000E+00   0.918058E+07   0.918058E+07   0.918058E+07  -0.237799E+00   0.507519E+07   0.507455E+07   0.706901E+01
   0.335673E-01   0.834101E+07   0.829227E+07  -0.111621E+03   0.915118E+03   0.000000E+00   0.833283E+07   0.833283E+07   0.833283E+07  -0.215837E+00   0.460656E+07   0.460594E+07   0.610584E+01
   0.370757E-01   0.754899E+07   0.750151E+07  -0.856595E+02   0.678872E+03   0.000000E+00   0.754102E+07   0.754102E+07   0.754102E+07  -0.195326E+00   0.416885E+07   0.416828E+07   0.513904E+01
   0.409509E-01   0.683193E+07   0.678786E+07  -0.550987E+02   0.503621E+03   0.000000E+00   0.682453E+07   0.682453E+07   0.682453E+07  -0.176766E+00   0.377276E+07   0.377225E+07   0.418217E+01
   0.450459E-01   0.622830E+07   0.618951E+07   0.583507E+03   0.379343E+03   0.000000E+00   0.622179E+07   0.622179E+07   0.622179E+07  -0.161133E+00   0.343957E+07   0.343912E+07   0.330338E+01
   0.491410E-01   0.575846E+07   0.572580E+07   0.453697E+03   0.295066E+03   0.000000E+00   0.575298E+07   0.575298E+07   0.575298E+07  -0.149051E+00   0.318038E+07   0.318000E+07   0.257087E+01
   0.532361E-01   0.538141E+07   0.535487E+07   0.361245E+03   0.234912E+03   0.000000E+00   0.537695E+07   0.537695E+07   0.537695E+07  -0.139291E+00   0.297252E+07   0.297220E+07   0.198767E+01
   0.573312E-01   0.506482E+07   0.504367E+07   0.293130E+03   0.190593E+03   0.000000E+00   0.506127E+07   0.506127E+07   0.506127E+07  -0.131095E+00   0.279800E+07   0.279773E+07   0.154909E+01
   0.614263E-01   0.478175E+07   0.476472E+07   0.241177E+03   0.156839E+03   0.000000E+00   0.477889E+07   0.477889E+07   0.477889E+07  -0.123801E+00   0.264188E+07   0.264165E+07   0.124112E+01
   0.655214E-01   0.451366E+07   0.449927E+07   0.200115E+03   0.130141E+03   0.000000E+00   0.451124E+07   0.451124E+07   0.451124E+07  -0.116872E+00   0.249391E+07   0.249371E+07   0.104251E+01
   0.696165E-01   0.424913E+07   0.423590E+07   0.166758E+03   0.108405E+03   0.000000E+00   0.424691E+07   0.424691E+07   0.424691E+07  -0.109979E+00   0.234778E+07   0.234759E+07   0.927370E+00
   0.737115E-01   0.399122E+07   0.397795E+07   0.139766E+03   0.908776E+02   0.000000E+00   0.398899E+07   0.398899E+07   0.398899E+07  -0.103322E+00   0.220521E+07   0.220502E+07   0.869704E+00
   0.778066E-01   0.372815E+07   0.371402E+07   0.117145E+03   0.761633E+02   0.000000E+00   0.372577E+07   0.372577E+07   0.372577E+07  -0.964961E-01   0.205970E+07   0.205950E+07   0.841910E+00
   0.819017E-01   0.347319E+07   0.345786E+07   0.984935E+02   0.640404E+02   0.000000E+00   0.347061E+07   0.347061E+07   0.347061E+07  -0.898928E-01   0.191864E+07   0.191844E+07   0.824352E+00
   0.859968E-01   0.323417E+07   0.321773E+07   0.831853E+02   0.540892E+02   0.000000E+00   0.323141E+07   0.323141E+07   0.323141E+07  -0.837004E-01   0.178641E+07   0.178620E+07   0.802136E+00
   0.910675E-01   0.297087E+07   0.295367E+07   0.680984E+02   0.442677E+02   0.000000E+00   0.296798E+07   0.296798E+07   0.296798E+07  -0.768556E-01   0.164078E+07   0.164057E+07   0.755942E+00
   0.961382E-01   0.275221E+07   0.273525E+07   0.566377E+02   0.368297E+02   0.000000E+00   0.274936E+07   0.274936E+07   0.274936E+07  -0.712187E-01   0.151992E+07   0.151972E+07   0.685924E+00
   0.101209E+00   0.257994E+07   0.256422E+07   0.479053E+02   0.311507E+02   0.000000E+00   0.257730E+07   0.257730E+07   0.257730E+07  -0.667603E-01   0.142481E+07   0.142462E+07   0.598164E+00
   0.106280E+00   0.244726E+07   0.243349E+07   0.411948E+02   0.267809E+02   0.000000E+00   0.244495E+07   0.244495E+07   0.244495E+07  -0.633167E-01   0.135164E+07   0.135148E+07   0.504100E+00
   0.111350E+00   0.234184E+07   0.233030E+07   0.358904E+02   0.233234E+02   0.000000E+00   0.233991E+07   0.233991E+07   0.233991E+07  -0.605720E-01   0.129356E+07   0.129342E+07   0.416009E+00
   0.116421E+00   0.225019E+07   0.224070E+07   0.315502E+02   0.205026E+02   0.000000E+00   0.224860E+07   0.224860E+07   0.224860E+07  -0.582075E-01   0.124308E+07   0.124296E+07   0.343506E+00
   0.121492E+00   0.216081E+07   0.215283E+07   0.278342E+02   0.180917E+02   0.000000E+00   0.215947E+07   0.215947E+07   0.215947E+07  -0.559127E-01   0.119380E+07   0.119370E+07   0.291530E+00
   0.126562E+00   0.206631E+07   0.205915E+07   0.245346E+02   0.159493E+02   0.000000E+00   0.206511E+07   0.206511E+07   0.206511E+07  -0.534777E-01   0.114164E+07   0.114154E+07   0.260014E+00
   0.131633E+00   0.196462E+07   0.195762E+07   0.215649E+02   0.140190E+02   0.000000E+00   0.196345E+07   0.196345E+07   0.196345E+07  -0.508459E-01   0.108544E+07   0.108534E+07   0.244916E+00
   0.136704E+00   0.185814E+07   0.185080E+07   0.189139E+02   0.122971E+02   0.000000E+00   0.185691E+07   0.185691E+07   0.185691E+07  -0.480928E-01   0.102654E+07   0.102645E+07   0.239941E+00
   0.141775E+00   0.175154E+07   0.174366E+07   0.165779E+02   0.107795E+02   0.000000E+00   0.175021E+07   0.175021E+07   0.175021E+07  -0.453343E-01   0.967563E+06   0.967462E+06   0.238421E+00
